;avail_local;avail_exterior;gwp_op_local;c_op_local
WOOD;11247.22222;0;0.0118;0.016980597
BIOMASS_RESIDUES;35824.71521;0;0.0118;0.010318121
WASTE;1.00E+15;0;0.1501;0.021187834
GAS;32134.07993;0;0.2666;0.003808043
GASOLINE;1.00E+15;0;0.3448;0.124118331
DIESEL;1.00E+15;0;0.3148;0.111311495
LFO;1.00E+15;0;0.3115;0.03545419
LPG;1.00E+15;0;0.28360908;0.021578745
JET_FUEL;1.00E+15;0;0.3115;0.03545419
