Regions;Technologies;F;f_min;f_max;Losses;Year_energy_flux;Storage_in_max;Storage_out_max
C3;TS_DHN_SEASONAL;;;;;;;
C3;TS_HIGH_TEMP;;;;;;;
C3;GAS_STORAGE;;;;;;;
C3;H2_STORAGE;;;;;;;
C3;DIESEL_STORAGE;19.28798616134339;19.27703786214855;1000000000000000.0;;6.188743523335318;;
C3;JET_FUEL_STORAGE;;;1000000000000000.0;;;;
C3;GASOLINE_STORAGE;17.85864934384448;17.84462431662407;1000000000000000.0;;;;
C3;LFO_STORAGE;;;;;;;
C3;AMMONIA_STORAGE;;;;;;;
C3;METHANOL_STORAGE;;;;;;;
C3;PT_STORAGE;;;;;;;
C3;ST_STORAGE;;;;;;;
C3;TS_COLD;;;;;;;
C3;CO2_STORAGE;;;;;;;
C3;LPG_STORAGE;5.211910307070355;;1000000000000000.0;;11.703864030379078;;
C3;LNG_STORAGE;;;1000000000000000.0;;;;
C3;SUV_ELEC_PRIVATE_BATT;;;;;;;
C3;MOTORCYCLE_ELEC_PRIVATE_BATT;;;;;;;
C3;BUS_ELEC_PUBLIC_BATT;;;;;;;
C4;BATT_LI;;;1000000000000000.0;;;;
C4;BATT_HS;;;1000000000000000.0;;;;
C4;CAES;;;;;;;
C4;BEV_BATT;;;;;;;
C4;PHEV_BATT;;;;;;;
C4;DAM_STORAGE;;;;;;;
C4;PHS;;;;;;;
C4;TS_DEC_DIRECT_ELEC;;;1000000000000000.0;;7.886231003752691;;
C4;TS_DEC_HP_ELEC;;;;;;;
C4;TS_DEC_THHP_GAS;;;;;;;
C4;TS_DEC_COGEN_GAS;;;;;;;
C4;TS_DEC_COGEN_OIL;;;;;;;
C4;TS_DEC_ADVCOGEN_GAS;;;;;;;
C4;TS_DEC_ADVCOGEN_H2;;;;;;;
C4;TS_DEC_BOILER_GAS;;;1000000000000000.0;;;;
C4;TS_DEC_BOILER_WOOD;;;;;;;
C4;TS_DEC_BOILER_OIL;;;;;;;
C4;TS_DHN_DAILY;;;;;;;
C4;TS_DHN_SEASONAL;;;;;;;
C4;TS_HIGH_TEMP;;;;;;;
C4;GAS_STORAGE;;;;;;;
C4;H2_STORAGE;;;;;;;
C4;DIESEL_STORAGE;7.557750358982975;7.535160563912947;1000000000000000.0;;;;
C4;JET_FUEL_STORAGE;;;1000000000000000.0;;;;
C4;GASOLINE_STORAGE;7.00989030433192;6.975247462292479;1000000000000000.0;;;;
C4;LFO_STORAGE;;;;;;;
C4;AMMONIA_STORAGE;;;;;;;
C4;METHANOL_STORAGE;;;;;;;
C4;PT_STORAGE;;;;;;;
C4;ST_STORAGE;;;;;;;
C4;TS_COLD;;;;;;;
C4;CO2_STORAGE;;;;;;;
C4;LPG_STORAGE;1.723779368812752;;1000000000000000.0;;3.114747443788662;;
C4;LNG_STORAGE;;;1000000000000000.0;;;;
C4;SUV_ELEC_PRIVATE_BATT;;;;;;;
C4;MOTORCYCLE_ELEC_PRIVATE_BATT;;;;;;;
C4;BUS_ELEC_PUBLIC_BATT;;;;;;;
C5;BATT_LI;;;1000000000000000.0;-1.9810157269268174;17.726328055538357;;
C5;BATT_HS;;;1000000000000000.0;;;;
C5;CAES;;;;;;;
C5;BEV_BATT;;;;;;;
C5;PHEV_BATT;;;;;;;
C5;DAM_STORAGE;;;;;;;
C5;PHS;;;;;;;
C5;TS_DEC_DIRECT_ELEC;;;1000000000000000.0;;7.318176457080901;;
C5;TS_DEC_HP_ELEC;;;;;;;
C5;TS_DEC_THHP_GAS;;;;;;;
C5;TS_DEC_COGEN_GAS;;;;;;;
C5;TS_DEC_COGEN_OIL;;;;;;;
C5;TS_DEC_ADVCOGEN_GAS;;;;;;;
C5;TS_DEC_ADVCOGEN_H2;;;;;;;
C5;TS_DEC_BOILER_GAS;;;1000000000000000.0;;;;
C5;TS_DEC_BOILER_WOOD;;;;;;;
C5;TS_DEC_BOILER_OIL;;;;;;;
C5;TS_DHN_DAILY;;;;;;;
C5;TS_DHN_SEASONAL;;;;;;;
C5;TS_HIGH_TEMP;;;;;;;
C5;GAS_STORAGE;;;;;;;
C5;H2_STORAGE;;;;;;;
C5;DIESEL_STORAGE;7.473662781966407;7.445228479986103;1000000000000000.0;;5.195524857070539;;
C5;JET_FUEL_STORAGE;;;1000000000000000.0;;;;
C5;GASOLINE_STORAGE;6.931323791600092;6.891997936968012;1000000000000000.0;;;;
C5;LFO_STORAGE;;;;;;;
C5;AMMONIA_STORAGE;;;;;;;
C5;METHANOL_STORAGE;;;;;;;
C5;PT_STORAGE;;;;;;;
C5;ST_STORAGE;;;;;;;
C5;TS_COLD;;;;;;;
C5;CO2_STORAGE;;;;;;;
C5;LPG_STORAGE;1.957018825295579;;1000000000000000.0;;5.299489727288388;;
C5;LNG_STORAGE;;;1000000000000000.0;;;;
C5;SUV_ELEC_PRIVATE_BATT;;;;;;;
C5;MOTORCYCLE_ELEC_PRIVATE_BATT;;;;;;;
C5;BUS_ELEC_PUBLIC_BATT;;;;;;;
