Resources;From;To;Typical_days;Hours;Exch_exp;Exch_imp;Balance
AMMONIA;SA-BN;SA-BN;6;2;;;
AMMONIA;SA-BN;SA-BN;6;3;;;
AMMONIA;SA-BN;SA-BN;6;4;;;
AMMONIA;SA-BN;SA-BN;6;5;;;
AMMONIA;SA-BN;SA-BN;6;6;;;
AMMONIA;SA-BN;SA-BN;6;7;;;
AMMONIA;SA-BN;SA-BN;6;8;;;
AMMONIA;SA-BN;SA-BN;6;9;;;
AMMONIA;SA-BN;SA-BN;6;10;;;
AMMONIA;SA-BN;SA-BN;6;11;;;
AMMONIA;SA-BN;SA-BN;6;12;;;
AMMONIA;SA-BN;SA-BN;6;13;;;
AMMONIA;SA-BN;SA-BN;6;14;;;
AMMONIA;SA-BN;SA-BN;6;15;;;
AMMONIA;SA-BN;SA-BN;6;16;;;
AMMONIA;SA-BN;SA-BN;6;17;;;
AMMONIA;SA-BN;SA-BN;6;18;;;
AMMONIA;SA-BN;SA-BN;6;19;;;
AMMONIA;SA-BN;SA-BN;6;20;;;
AMMONIA;SA-BN;SA-BN;6;21;;;
AMMONIA;SA-BN;SA-BN;6;22;;;
AMMONIA;SA-BN;SA-BN;6;23;;;
AMMONIA;SA-BN;SA-BN;6;24;;;
AMMONIA;SA-BN;SA-BN;7;1;;;
AMMONIA;SA-BN;SA-BN;7;2;;;
AMMONIA;SA-BN;SA-BN;7;3;;;
AMMONIA;SA-BN;SA-BN;7;4;;;
AMMONIA;SA-BN;SA-BN;7;5;;;
AMMONIA;SA-BN;SA-BN;7;6;;;
AMMONIA;SA-BN;SA-BN;7;7;;;
AMMONIA;SA-BN;SA-BN;7;8;;;
AMMONIA;SA-BN;SA-BN;7;9;;;
AMMONIA;SA-BN;SA-BN;7;10;;;
AMMONIA;SA-BN;SA-BN;7;11;;;
AMMONIA;SA-BN;SA-BN;7;12;;;
AMMONIA;SA-BN;SA-BN;7;13;;;
AMMONIA;SA-BN;SA-BN;7;14;;;
AMMONIA;SA-BN;SA-BN;7;15;;;
AMMONIA;SA-BN;SA-BN;7;16;;;
AMMONIA;SA-BN;SA-BN;7;17;;;
AMMONIA;SA-BN;SA-BN;7;18;;;
AMMONIA;SA-BN;SA-BN;7;19;;;
AMMONIA;SA-BN;SA-BN;7;20;;;
AMMONIA;SA-BN;SA-BN;7;21;;;
AMMONIA;SA-BN;SA-BN;7;22;;;
AMMONIA;SA-BN;SA-BN;7;23;;;
AMMONIA;SA-BN;SA-BN;7;24;;;
AMMONIA;SA-BN;SA-BN;8;1;;;
AMMONIA;SA-BN;SA-BN;8;2;;;
AMMONIA;SA-BN;SA-BN;8;3;;;
AMMONIA;SA-BN;SA-BN;8;4;;;
AMMONIA;SA-BN;SA-BN;8;5;;;
AMMONIA;SA-BN;SA-BN;8;6;;;
AMMONIA;SA-BN;SA-BN;8;7;;;
AMMONIA;SA-BN;SA-BN;8;8;;;
AMMONIA;SA-BN;SA-BN;8;9;;;
AMMONIA;SA-BN;SA-BN;8;10;;;
AMMONIA;SA-BN;SA-BN;8;11;;;
AMMONIA;SA-BN;SA-BN;8;12;;;
AMMONIA;SA-BN;SA-BN;8;13;;;
AMMONIA;SA-BN;SA-BN;8;14;;;
AMMONIA;SA-BN;SA-BN;8;15;;;
AMMONIA;SA-BN;SA-BN;8;16;;;
AMMONIA;SA-BN;SA-BN;8;17;;;
AMMONIA;SA-BN;SA-BN;8;18;;;
AMMONIA;SA-BN;SA-BN;8;19;;;
AMMONIA;SA-BN;SA-BN;8;20;;;
AMMONIA;SA-BN;SA-BN;8;21;;;
AMMONIA;SA-BN;SA-BN;8;22;;;
AMMONIA;SA-BN;SA-BN;8;23;;;
AMMONIA;SA-BN;SA-BN;8;24;;;
AMMONIA;SA-BN;SA-BN;9;1;;;
AMMONIA;SA-BN;SA-BN;9;2;;;
AMMONIA;SA-BN;SA-BN;9;3;;;
AMMONIA;SA-BN;SA-BN;9;4;;;
AMMONIA;SA-BN;SA-BN;9;5;;;
AMMONIA;SA-BN;SA-BN;9;6;;;
AMMONIA;SA-BN;SA-BN;9;7;;;
AMMONIA;SA-BN;SA-BN;9;8;;;
AMMONIA;SA-BN;SA-BN;9;9;;;
AMMONIA;SA-BN;SA-BN;9;10;;;
AMMONIA;SA-BN;SA-BN;9;11;;;
AMMONIA;SA-BN;SA-BN;9;12;;;
AMMONIA;SA-BN;SA-BN;9;13;;;
AMMONIA;SA-BN;SA-BN;9;14;;;
AMMONIA;SA-BN;SA-BN;9;15;;;
AMMONIA;SA-BN;SA-BN;9;16;;;
AMMONIA;SA-BN;SA-BN;9;17;;;
AMMONIA;SA-BN;SA-BN;9;18;;;
AMMONIA;SA-BN;SA-BN;9;19;;;
AMMONIA;SA-BN;SA-BN;9;20;;;
AMMONIA;SA-BN;SA-BN;9;21;;;
AMMONIA;SA-BN;SA-BN;9;22;;;
AMMONIA;SA-BN;SA-BN;9;23;;;
AMMONIA;SA-BN;SA-BN;9;24;;;
AMMONIA;SA-BN;SA-BN;10;1;;;
AMMONIA;SA-BN;SA-BN;10;2;;;
AMMONIA;SA-BN;SA-BN;10;3;;;
AMMONIA;SA-BN;SA-BN;10;4;;;
AMMONIA;SA-BN;SA-BN;10;5;;;
AMMONIA;SA-BN;SA-BN;10;6;;;
AMMONIA;SA-BN;SA-BN;10;7;;;
AMMONIA;SA-BN;SA-BN;10;8;;;
AMMONIA;SA-BN;SA-BN;10;9;;;
AMMONIA;SA-BN;SA-BN;10;10;;;
AMMONIA;SA-BN;SA-BN;10;11;;;
AMMONIA;SA-BN;SA-BN;10;12;;;
AMMONIA;SA-BN;SA-BN;10;13;;;
AMMONIA;SA-BN;SA-BN;10;14;;;
AMMONIA;SA-BN;SA-BN;10;15;;;
AMMONIA;SA-BN;SA-BN;10;16;;;
AMMONIA;SA-BN;SA-BN;10;17;;;
AMMONIA;SA-BN;SA-BN;10;18;;;
AMMONIA;SA-BN;SA-BN;10;19;;;
AMMONIA;SA-BN;SA-BN;10;20;;;
AMMONIA;SA-BN;SA-BN;10;21;;;
AMMONIA;SA-BN;SA-BN;10;22;;;
AMMONIA;SA-BN;SA-BN;10;23;;;
AMMONIA;SA-BN;SA-BN;10;24;;;
AMMONIA;SA-BN;SA-BN;11;1;;;
AMMONIA;SA-BN;SA-BN;11;2;;;
AMMONIA;SA-BN;SA-BN;11;3;;;
