Regions;Resources;Typical_days;Hours;R_t_exterior
SA-BN;AMMONIA;4;7;0.0
SA-BN;AMMONIA;4;8;0.0
SA-BN;AMMONIA;4;9;0.0
SA-BN;AMMONIA;4;10;0.0
SA-BN;AMMONIA;4;11;0.0
SA-BN;AMMONIA;4;12;0.0
SA-BN;AMMONIA;4;13;0.0
SA-BN;AMMONIA;4;14;0.0
SA-BN;AMMONIA;4;15;0.0
SA-BN;AMMONIA;4;16;0.0
SA-BN;AMMONIA;4;17;0.0
SA-BN;AMMONIA;4;18;0.0
SA-BN;AMMONIA;4;19;0.0
SA-BN;AMMONIA;4;20;0.0
SA-BN;AMMONIA;4;21;0.0
SA-BN;AMMONIA;4;22;0.0
SA-BN;AMMONIA;4;23;0.0
SA-BN;AMMONIA;4;24;0.0
SA-BN;AMMONIA;5;1;0.0
SA-BN;AMMONIA;5;2;0.0
SA-BN;AMMONIA;5;3;0.0
SA-BN;AMMONIA;5;4;0.0
SA-BN;AMMONIA;5;5;0.0
SA-BN;AMMONIA;5;6;0.0
SA-BN;AMMONIA;5;7;0.0
SA-BN;AMMONIA;5;8;0.0
SA-BN;AMMONIA;5;9;0.0
SA-BN;AMMONIA;5;10;0.0
SA-BN;AMMONIA;5;11;0.0
SA-BN;AMMONIA;5;12;0.0
SA-BN;AMMONIA;5;13;0.0
SA-BN;AMMONIA;5;14;0.0
SA-BN;AMMONIA;5;15;0.0
SA-BN;AMMONIA;5;16;0.0
SA-BN;AMMONIA;5;17;0.0
SA-BN;AMMONIA;5;18;0.0
SA-BN;AMMONIA;5;19;0.0
SA-BN;AMMONIA;5;20;0.0
SA-BN;AMMONIA;5;21;0.0
SA-BN;AMMONIA;5;22;0.0
SA-BN;AMMONIA;5;23;0.0
SA-BN;AMMONIA;5;24;0.0
SA-BN;AMMONIA;6;1;0.0
SA-BN;AMMONIA;6;2;0.0
SA-BN;AMMONIA;6;3;0.0
SA-BN;AMMONIA;6;4;0.0
SA-BN;AMMONIA;6;5;0.0
SA-BN;AMMONIA;6;6;0.0
SA-BN;AMMONIA;6;7;0.0
SA-BN;AMMONIA;6;8;0.0
SA-BN;AMMONIA;6;9;0.0
SA-BN;AMMONIA;6;10;0.0
SA-BN;AMMONIA;6;11;0.0
SA-BN;AMMONIA;6;12;0.0
SA-BN;AMMONIA;6;13;0.0
SA-BN;AMMONIA;6;14;0.0
SA-BN;AMMONIA;6;15;0.0
SA-BN;AMMONIA;6;16;0.0
SA-BN;AMMONIA;6;17;0.0
SA-BN;AMMONIA;6;18;0.0
SA-BN;AMMONIA;6;19;0.0
SA-BN;AMMONIA;6;20;0.0
SA-BN;AMMONIA;6;21;0.0
SA-BN;AMMONIA;6;22;0.0
SA-BN;AMMONIA;6;23;0.0
SA-BN;AMMONIA;6;24;0.0
SA-BN;AMMONIA;7;1;0.0
SA-BN;AMMONIA;7;2;0.0
SA-BN;AMMONIA;7;3;0.0
SA-BN;AMMONIA;7;4;0.0
SA-BN;AMMONIA;7;5;0.0
SA-BN;AMMONIA;7;6;0.0
SA-BN;AMMONIA;7;7;0.0
SA-BN;AMMONIA;7;8;0.0
SA-BN;AMMONIA;7;9;0.0
SA-BN;AMMONIA;7;10;0.0
SA-BN;AMMONIA;7;11;0.0
SA-BN;AMMONIA;7;12;0.0
SA-BN;AMMONIA;7;13;0.0
SA-BN;AMMONIA;7;14;0.0
SA-BN;AMMONIA;7;15;0.0
SA-BN;AMMONIA;7;16;0.0
SA-BN;AMMONIA;7;17;0.0
SA-BN;AMMONIA;7;18;0.0
SA-BN;AMMONIA;7;19;0.0
SA-BN;AMMONIA;7;20;0.0
SA-BN;AMMONIA;7;21;0.0
SA-BN;AMMONIA;7;22;0.0
SA-BN;AMMONIA;7;23;0.0
SA-BN;AMMONIA;7;24;0.0
SA-BN;AMMONIA;8;1;0.0
SA-BN;AMMONIA;8;2;0.0
SA-BN;AMMONIA;8;3;0.0
