Regions;Resources;avail_local;avail_exterior;R_year_local;R_year_exterior;R_year_import;R_year_export
C3;WET_BIOMASS;;;;;;
C3;ENERGY_CROPS_2;;;;;;
C3;BIOWASTE;;;;;;
C3;BIOMASS_RESIDUES;33.29435;;;;;
C3;COAL;;;;;;
C3;URANIUM;;;;;;
C3;WASTE;;;;;;
C3;H2;;;;;;
C3;H2_RE;;;;;;
C3;AMMONIA;;;;;;
C3;METHANOL;;;;;;
C3;AMMONIA_RE;;;;;;
C3;METHANOL_RE;;;;;;
C3;CO2_EMISSIONS;;1000000000000000.0;;;;
C3;RES_WIND;1000000000000000.0;;;;;
C3;RES_SOLAR;1000000000000000.0;;14.050517037914641;;;
C3;RES_HYDRO;1000000000000000.0;;;;;
C3;RES_GEO;1000000000000000.0;;;;;
C3;CO2_ATM;;1000000000000000.0;;;;
C3;CO2_INDUSTRY;;;;;;
C3;CO2_CAPTURED;;;;;;
C3;PT_HEAT;;;;;;
C3;ST_HEAT;;;;;;
C3;LPG;;1000000.0;;84.49114596898026;;
C3;LNG;;1.0;;1.0000000000000018;;
C3;CO2_EMISSIONS_CAPTURED;;1000000000000000.0;;;;
C3;CO2_EMISSIONS_ATM;;1000000000000000.0;;;;
C4;ELECTRICITY;;;;;3.08335163072687;6.203551449159745
C4;GASOLINE;;1000000.0;;;;
C4;DIESEL;;1000000.0;;68.11491587376175;;
C4;GASOLINE_RE;;;;;;
C4;DIESEL_RE;;;;;;
C4;LFO;;1.0;;;;
C4;LFO_RE;;;;;;
C4;JET_FUEL;;1.0;;;;
C4;JET_FUEL_RE;;;;;;
C4;GAS;;;;;;
C4;GAS_RE;;;;;;
C4;WOOD;20.660842;;;;;
C4;WET_BIOMASS;;;;;;
C4;ENERGY_CROPS_2;;;;;;
C4;BIOWASTE;;;;;;
C4;BIOMASS_RESIDUES;80.239972;;;;;
C4;COAL;;;;;;
C4;URANIUM;;;;;;
C4;WASTE;;;;;;
C4;H2;;;;;;
C4;H2_RE;;;;;;
C4;AMMONIA;;;;;;
C4;METHANOL;;;;;;
C4;AMMONIA_RE;;;;;;
C4;METHANOL_RE;;;;;;
C4;CO2_EMISSIONS;;1000000000000000.0;;;;
C4;RES_WIND;1000000000000000.0;;;;;
C4;RES_SOLAR;1000000000000000.0;;23.886157983141867;;;
C4;RES_HYDRO;1000000000000000.0;;;;;
C4;RES_GEO;1000000000000000.0;;;;;
C4;CO2_ATM;;1000000000000000.0;;;;
C4;CO2_INDUSTRY;;;;;;
C4;CO2_CAPTURED;;;;;;
C4;PT_HEAT;;;;;;
C4;ST_HEAT;;;;;;
C4;LPG;;1000000.0;;34.739181405957595;;
C4;LNG;;1.0;;;;
C4;CO2_EMISSIONS_CAPTURED;;1000000000000000.0;;;;
C4;CO2_EMISSIONS_ATM;;1000000000000000.0;;;;
C5;ELECTRICITY;;;;;4.991176493193227;3.7516621555111036
C5;GASOLINE;;1000000.0;;;;
C5;DIESEL;;1000000.0;;150.9935774815206;;
C5;GASOLINE_RE;;;;;;
C5;DIESEL_RE;;;;;;
C5;LFO;;1.0;;;;
C5;LFO_RE;;;;;;
C5;JET_FUEL;;1.0;;;;
C5;JET_FUEL_RE;;;;;;
C5;GAS;;;;;;
C5;GAS_RE;;;;;;
C5;WOOD;0.295315;;;;;
C5;WET_BIOMASS;;;;;;
C5;ENERGY_CROPS_2;;;;;;
C5;BIOWASTE;;;;;;
C5;BIOMASS_RESIDUES;1.146905;;;;;
C5;COAL;;;;;;
C5;URANIUM;;;;;;
C5;WASTE;;;;;;
C5;H2;;;;;;
C5;H2_RE;;;;;;
C5;AMMONIA;;;;;;
C5;METHANOL;;;;;;
C5;AMMONIA_RE;;;;;;
C5;METHANOL_RE;;;;;;
C5;CO2_EMISSIONS;;1000000000000000.0;;;;
C5;RES_WIND;1000000000000000.0;;;;;
C5;RES_SOLAR;1000000000000000.0;;7.794038853496249;;;
C5;RES_HYDRO;1000000000000000.0;;;;;
C5;RES_GEO;1000000000000000.0;;;;;
C5;CO2_ATM;;1000000000000000.0;;;;
C5;CO2_INDUSTRY;;;;;;
C5;CO2_CAPTURED;;;;;;
C5;PT_HEAT;;;;;;
C5;ST_HEAT;;;;;;
C5;LPG;;1000000.0;;32.68128097831828;;
C5;LNG;;1.0;;0.9999999999999999;;
C5;CO2_EMISSIONS_CAPTURED;;1000000000000000.0;;;;
C5;CO2_EMISSIONS_ATM;;1000000000000000.0;;;;
