c,h,td,slack
C1,7,14,5.421010862427522e-20
C1,7,15,0.0
C1,7,16,-8.131516293641283e-20
C1,8,1,2.710505431213761e-20
C1,8,2,0.0
C1,8,3,5.421010862427522e-20
C1,8,4,2.710505431213761e-20
C1,8,5,0.0
C1,8,6,5.421010862427522e-20
C1,8,7,-2.710505431213761e-20
C1,8,8,0.0
C1,8,9,0.0
C1,8,10,0.0
C1,8,11,-2.710505431213761e-20
C1,8,12,0.0
C1,8,13,0.0
C1,8,14,2.710505431213761e-20
C1,8,15,0.0
C1,8,16,2.710505431213761e-20
C1,9,1,-2.710505431213761e-20
C1,9,2,-2.710505431213761e-20
C1,9,3,2.710505431213761e-20
C1,9,4,-2.710505431213761e-20
C1,9,5,0.0
C1,9,6,2.710505431213761e-20
C1,9,7,0.0
C1,9,8,2.710505431213761e-20
C1,9,9,5.421010862427522e-20
C1,9,10,2.710505431213761e-20
C1,9,11,-2.710505431213761e-20
C1,9,12,-2.710505431213761e-20
C1,9,13,-2.710505431213761e-20
C1,9,14,-2.710505431213761e-20
C1,9,15,-2.710505431213761e-20
C1,9,16,0.0
C1,10,1,0.0
C1,10,2,0.0
C1,10,3,5.421010862427522e-20
C1,10,4,-2.710505431213761e-20
C1,10,5,-2.710505431213761e-20
C1,10,6,-2.710505431213761e-20
C1,10,7,0.0
C1,10,8,0.0
C1,10,9,0.0
C1,10,10,2.710505431213761e-20
C1,10,11,-2.710505431213761e-20
C1,10,12,-2.710505431213761e-20
C1,10,13,-2.710505431213761e-20
C1,10,14,-2.710505431213761e-20
C1,10,15,2.710505431213761e-20
C1,10,16,-2.710505431213761e-20
C1,11,1,0.0
C1,11,2,0.0
C1,11,3,-2.710505431213761e-20
C1,11,4,2.710505431213761e-20
C1,11,5,0.0
C1,11,6,-2.710505431213761e-20
C1,11,7,0.0
C1,11,8,-2.710505431213761e-20
C1,11,9,2.710505431213761e-20
C1,11,10,-2.710505431213761e-20
C1,11,11,-2.710505431213761e-20
C1,11,12,2.710505431213761e-20
C1,11,13,0.0
C1,11,14,-2.710505431213761e-20
C1,11,15,0.0
C1,11,16,2.710505431213761e-20
C1,12,1,2.710505431213761e-20
C1,12,2,2.710505431213761e-20
C1,12,3,2.710505431213761e-20
C1,12,4,-5.421010862427522e-20
C1,12,5,2.710505431213761e-20
C1,12,6,2.710505431213761e-20
C1,12,7,-2.710505431213761e-20
C1,12,8,0.0
C1,12,9,5.421010862427522e-20
C1,12,10,2.710505431213761e-20
C1,12,11,2.710505431213761e-20
C1,12,12,-2.710505431213761e-20
C1,12,13,2.710505431213761e-20
C1,12,14,-2.710505431213761e-20
C1,12,15,2.710505431213761e-20
C1,12,16,-2.710505431213761e-20
C1,13,1,0.0
C1,13,2,-5.421010862427522e-20
C1,13,3,2.710505431213761e-20
C1,13,4,0.0
C1,13,5,0.0
C1,13,6,-2.710505431213761e-20
C1,13,7,-2.710505431213761e-20
C1,13,8,2.710505431213761e-20
C1,13,9,-2.710505431213761e-20
C1,13,10,-2.710505431213761e-20
C1,13,11,-8.131516293641283e-20
C1,13,12,2.710505431213761e-20
C1,13,13,-5.421010862427522e-20
C1,13,14,0.0
C1,13,15,-8.131516293641283e-20
C1,13,16,-2.710505431213761e-20
C1,14,1,-5.421010862427522e-20
C1,14,2,0.0
C1,14,3,-5.421010862427522e-20
C1,14,4,2.710505431213761e-20
C1,14,5,2.710505431213761e-20
C1,14,6,2.071945184036069e-05
C1,14,7,1.5209182954588785e-06
C1,14,8,0.0
C1,14,9,2.710505431213761e-20
C1,14,10,-2.710505431213761e-20
C1,14,11,0.0
C1,14,12,0.0
C1,14,13,2.710505431213761e-20
C1,14,14,2.710505431213761e-20
C1,14,15,-2.710505431213761e-20
C1,14,16,2.710505431213761e-20
C1,15,1,-2.710505431213761e-20
C1,15,2,2.710505431213761e-20
C1,15,3,2.12096829860971e-06
C1,15,4,2.710505431213761e-20
C1,15,5,1.9408098576764266e-05
C1,15,6,4.663958963671371e-05
C1,15,7,3.771799838746384e-05
C1,15,8,2.2952833328904084e-05
C1,15,9,2.6639225469320582e-05
C1,15,10,0.0
C1,15,11,-8.131516293641283e-20
C1,15,12,2.710505431213761e-20
C1,15,13,2.710505431213761e-20
C1,15,14,2.710505431213761e-20
C1,15,15,-5.421010862427522e-20
C1,15,16,8.131516293641283e-20
C1,16,1,-5.421010862427522e-20
C1,16,2,8.131516293641283e-20
C1,16,3,2.0061905980579007e-05
C1,16,4,2.710505431213761e-20
C1,16,5,4.1179191689397394e-05
C1,16,6,6.769193054804326e-05
C1,16,7,5.6722574797620786e-05
C1,16,8,4.923166794260374e-05
C1,16,9,5.014665633848098e-05
C1,16,10,-5.421010862427522e-20
C1,16,11,0.0
C1,16,12,-2.710505431213761e-20
C1,16,13,-2.710505431213761e-20
C1,16,14,2.710505431213761e-20
C1,16,15,-2.710505431213761e-20
C1,16,16,-8.131516293641283e-20
C1,17,1,-2.710505431213761e-20
C1,17,2,2.710505431213761e-20
C1,17,3,-2.710505431213761e-20
C1,17,4,2.710505431213761e-20
C1,17,5,4.39111130266401e-05
C1,17,6,7.367972599816577e-05
C1,17,7,5.9220195627681174e-05
C1,17,8,5.060667408671803e-05
C1,17,9,5.449419216880177e-05
C1,17,10,0.0
C1,17,11,-2.710505431213761e-20
C1,17,12,-2.710505431213761e-20
C1,17,13,-2.710505431213761e-20
C1,17,14,-5.421010862427522e-20
C1,17,15,-5.421010862427522e-20
C1,17,16,-2.710505431213761e-20
C1,18,1,-8.131516293641283e-20
C1,18,2,2.710505431213761e-20
C1,18,3,5.421010862427522e-20
C1,18,4,5.421010862427522e-20
C1,18,5,3.105441632181015e-05
C1,18,6,6.22966254214169e-05
C1,18,7,5.1082338486396745e-05
C1,18,8,4.1290072186218624e-05
C1,18,9,4.4436253367981644e-05
C1,18,10,-2.710505431213761e-20
C1,18,11,0.0
C1,18,12,-2.710505431213761e-20
C1,18,13,-5.421010862427522e-20
C1,18,14,2.710505431213761e-20
C1,18,15,0.0
C1,18,16,0.0
C1,19,1,-5.421010862427522e-20
C1,19,2,0.0
C1,19,3,5.421010862427522e-20
C1,19,4,-5.421010862427522e-20
C1,19,5,3.4710090887926605e-06
C1,19,6,3.3717518662539975e-05
C1,19,7,2.5846083968873327e-05
C1,19,8,1.2380202820619498e-05
C1,19,9,1.241202959644086e-05
C1,19,10,-2.710505431213761e-20
C1,19,11,2.710505431213761e-20
C1,19,12,5.421010862427522e-20
C1,19,13,0.0
C1,19,14,2.710505431213761e-20
C1,19,15,-8.131516293641283e-20
C1,19,16,-8.131516293641283e-20
C1,20,1,5.421010862427522e-20
C1,20,2,2.710505431213761e-20
C1,20,3,-5.421010862427522e-20
C1,20,4,-2.710505431213761e-20
C1,20,5,2.710505431213761e-20
C1,20,6,-2.710505431213761e-20
C1,20,7,-5.421010862427522e-20
C1,20,8,0.0
C1,20,9,2.710505431213761e-20
C1,20,10,0.0
C1,20,11,2.710505431213761e-20
C1,20,12,-1.0842021724855044e-19
C1,20,13,0.0
C1,20,14,5.421010862427522e-20
C1,20,15,-2.710505431213761e-20
C1,20,16,0.0
C1,21,1,0.0
C1,21,2,2.710505431213761e-20
C1,21,3,0.0
C1,21,4,2.710505431213761e-20
C1,21,5,2.710505431213761e-20
C1,21,6,-5.421010862427522e-20
C1,21,7,-5.421010862427522e-20
C1,21,8,2.710505431213761e-20
C1,21,9,5.421010862427522e-20
C1,21,10,-2.710505431213761e-20
C1,21,11,0.0
C1,21,12,5.421010862427522e-20
C1,21,13,0.0
C1,21,14,-2.710505431213761e-20
C1,21,15,0.0
C1,21,16,2.710505431213761e-20
C1,22,1,-2.710505431213761e-20
C1,22,2,0.0
C1,22,3,-1.0842021724855044e-19
C1,22,4,2.710505431213761e-20
C1,22,5,2.710505431213761e-20
C1,22,6,2.710505431213761e-20
C1,22,7,2.710505431213761e-20
C1,22,8,2.710505431213761e-20
C1,22,9,-2.710505431213761e-20
C1,22,10,0.0
C1,22,11,2.710505431213761e-20
C1,22,12,5.421010862427522e-20
C1,22,13,0.0
C1,22,14,5.421010862427522e-20
C1,22,15,2.710505431213761e-20
C1,22,16,-2.710505431213761e-20
C1,23,1,2.710505431213761e-20
C1,23,2,2.710505431213761e-20
C1,23,3,0.0
C1,23,4,-2.710505431213761e-20
C1,23,5,2.710505431213761e-20
C1,23,6,2.710505431213761e-20
C1,23,7,2.710505431213761e-20
C1,23,8,5.421010862427522e-20
C1,23,9,-2.710505431213761e-20
C1,23,10,2.710505431213761e-20
C1,23,11,0.0
C1,23,12,1.0842021724855044e-19
C1,23,13,2.710505431213761e-20
C1,23,14,2.710505431213761e-20
C1,23,15,5.421010862427522e-20
C1,23,16,5.421010862427522e-20
C1,24,1,-5.421010862427522e-20
C1,24,2,2.710505431213761e-20
C1,24,3,-4.0657581468206416e-20
C1,24,4,0.0
C1,24,5,2.710505431213761e-20
C1,24,6,8.131516293641283e-20
C1,24,7,-2.710505431213761e-20
C1,24,8,-5.421010862427522e-20
C1,24,9,4.0657581468206416e-20
C1,24,10,-2.710505431213761e-20
C1,24,11,0.0
C1,24,12,0.0
C1,24,13,0.0
C1,24,14,2.710505431213761e-20
C1,24,15,-2.710505431213761e-20
C1,24,16,-2.710505431213761e-20
C2,1,1,0.0
C2,1,2,0.0
C2,1,3,0.0
C2,1,4,0.0
C2,1,5,0.0
C2,1,6,0.0
C2,1,7,0.0
C2,1,8,0.0
C2,1,9,0.0
C2,1,10,3.607113276213556e-09
C2,1,11,0.0
C2,1,12,0.0
C2,1,13,0.0
C2,1,14,0.0
C2,1,15,0.0
C2,1,16,0.0
C2,2,1,0.0
C2,2,2,0.0
C2,2,3,0.0
C2,2,4,0.0
C2,2,5,0.0
C2,2,6,0.0
C2,2,7,0.0
C2,2,8,0.0
C2,2,9,0.0
C2,2,10,0.0
C2,2,11,0.0
C2,2,12,0.0
C2,2,13,0.0
C2,2,14,0.0
C2,2,15,0.0
C2,2,16,0.0
C2,3,1,0.0
C2,3,2,0.0
C2,3,3,0.0
C2,3,4,0.0
C2,3,5,0.0
C2,3,6,0.0
C2,3,7,0.0
C2,3,8,0.0
C2,3,9,0.0
C2,3,10,0.0
C2,3,11,0.0
C2,3,12,0.0
C2,3,13,0.0
C2,3,14,0.0
C2,3,15,0.0
C2,3,16,0.0
C2,4,1,0.0
C2,4,2,0.0
C2,4,3,0.0
C2,4,4,0.0
C2,4,5,0.0
C2,4,6,0.0
C2,4,7,0.0
C2,4,8,0.0
C2,4,9,0.0
C2,4,10,0.0
C2,4,11,0.0
C2,4,12,0.0
C2,4,13,0.0
C2,4,14,0.0
C2,4,15,0.0
C2,4,16,0.0
C2,5,1,0.0
C2,5,2,0.0
C2,5,3,0.0
C2,5,4,0.0
C2,5,5,0.0
C2,5,6,0.0
C2,5,7,0.0
C2,5,8,0.0
C2,5,9,0.0
C2,5,10,0.0
C2,5,11,0.0
C2,5,12,0.0
C2,5,13,0.0
C2,5,14,0.0
C2,5,15,0.0
C2,5,16,0.0
C2,6,1,0.0
C2,6,2,0.0
C2,6,3,0.0
C2,6,4,0.0
C2,6,5,0.0
C2,6,6,0.0
C2,6,7,0.0
C2,6,8,0.0
C2,6,9,0.0
C2,6,10,0.0
C2,6,11,0.0
C2,6,12,0.0
C2,6,13,0.0
C2,6,14,0.0
C2,6,15,0.0
C2,6,16,0.0
C2,7,1,0.0
C2,7,2,0.0
C2,7,3,0.0
C2,7,4,0.0
C2,7,5,0.0
C2,7,6,0.0
C2,7,7,0.0
C2,7,8,0.0
C2,7,9,0.0
C2,7,10,0.0
C2,7,11,0.0
C2,7,12,0.0
C2,7,13,0.0
C2,7,14,0.0
C2,7,15,0.0
C2,7,16,0.0
C2,8,1,0.0
C2,8,2,0.0
C2,8,3,0.0
C2,8,4,0.0
C2,8,5,0.0
C2,8,6,0.0
C2,8,7,0.0
C2,8,8,0.0
C2,8,9,0.0
C2,8,10,0.0
C2,8,11,0.0
C2,8,12,0.0
C2,8,13,0.0
C2,8,14,0.0
C2,8,15,0.0
C2,8,16,0.0
C2,9,1,0.0
C2,9,2,0.0
C2,9,3,0.0
C2,9,4,0.0
C2,9,5,0.0
C2,9,6,0.0
C2,9,7,0.0
C2,9,8,0.0
C2,9,9,0.0
C2,9,10,0.0
C2,9,11,0.0
C2,9,12,0.0
C2,9,13,0.0
C2,9,14,0.0
C2,9,15,0.0
C2,9,16,0.0
C2,10,1,0.0
C2,10,2,0.0
C2,10,3,0.0
C2,10,4,0.0
C2,10,5,0.0
C2,10,6,0.0
C2,10,7,0.0
C2,10,8,0.0
C2,10,9,0.0
C2,10,10,0.0
C2,10,11,0.0
C2,10,12,0.0
C2,10,13,0.0
C2,10,14,0.0
C2,10,15,0.0
C2,10,16,0.0
C2,11,1,6.356538016770825e-09
C2,11,2,5.037446633917782e-09
C2,11,3,2.7583618496866947e-09
C2,11,4,0.0
C2,11,5,0.0
C2,11,6,0.0
C2,11,7,0.0
C2,11,8,0.0
C2,11,9,0.0
C2,11,10,0.0
C2,11,11,7.196352334168261e-10
C2,11,12,4.79780810118998e-09
C2,11,13,5.277085166645586e-09
C2,11,14,1.6543612251060553e-24
C2,11,15,2.518723316958891e-09
C2,11,16,3.7183552510647404e-09
C2,12,1,6.824516809061787e-08
C2,12,2,6.296808292397228e-08
C2,12,3,7.508170280807772e-08
C2,12,4,4.2578657855573336e-08
C2,12,5,1.1478181972998379e-07
C2,12,6,1.3852978243273898e-07
C2,12,7,1.3768996811534156e-07
C2,12,8,8.803513700958058e-08
C2,12,9,9.559130696045723e-08
C2,12,10,9.127349555995628e-08
C2,12,11,6.89648033240347e-08
C2,12,12,8.635622801001913e-08
C2,12,13,7.508170280807772e-08
C2,12,14,6.524716770820336e-08
C2,12,15,5.5651551505823406e-08
C2,12,16,6.34480796246613e-08
C2,13,1,1.662357389192868e-07
C2,13,2,1.4488632044950984e-07
C2,13,3,1.9921878057248024e-07
C2,13,4,1.2209835114813268e-07
C2,13,5,2.7178247969883247e-07
C2,13,6,2.9469062808419037e-07
C2,13,7,2.891731847495835e-07
C2,13,8,2.290836427592785e-07
C2,13,9,2.314829066274902e-07
C2,13,10,2.1720966140790085e-07
C2,13,11,1.7918917312078967e-07
C2,13,12,1.9694041542348258e-07
C2,13,13,1.784695378873729e-07
C2,13,14,1.4764540193442988e-07
C2,13,15,1.3637087673248855e-07
C2,13,16,1.513630375502613e-07
C2,14,1,2.619472249637247e-07
C2,14,2,2.2668509852630014e-07
C2,14,3,3.068042479682957e-07
C2,14,4,1.9849914533906335e-07
C2,14,5,3.8272576509377097e-07
C2,14,6,4.026359130967142e-07
C2,14,7,3.9699901031336024e-07
C2,14,8,3.490230882071606e-07
C2,14,9,3.4926272673988845e-07
C2,14,10,3.2455549027098854e-07
C2,14,11,2.8641482289989686e-07
C2,14,12,2.925317223839397e-07
C2,14,13,2.7214229731554086e-07
C2,14,14,2.2152747280840183e-07
C2,14,15,2.1960892527611255e-07
C2,14,16,2.2944346037598686e-07
C2,15,1,3.334307516047183e-07
C2,15,2,2.9313117853337603e-07
C2,15,3,3.8224648802831524e-07
C2,15,4,2.393988941950753e-07
C2,15,5,4.5421001136999794e-07
C2,15,6,2.0529386737079064e-07
C2,15,7,4.6740308410422855e-07
C2,15,8,4.2626369671548875e-07
C2,15,9,4.323805961995318e-07
C2,15,10,3.9699901031336024e-07
C2,15,11,3.6677433050985346e-07
C2,15,12,3.595779781756852e-07
C2,15,13,3.3618983308963845e-07
C2,15,14,2.6422630974795575e-07
C2,15,15,2.840162786669185e-07
C2,15,16,2.889335462168556e-07
C2,16,1,3.772090413943976e-07
C2,16,2,3.1867822931967333e-07
C2,16,3,4.2158606769827944e-07
C2,16,4,2.641061306639751e-07
C2,16,5,2.280825563074012e-07
C2,16,6,2.436748929098437e-07
C2,16,7,2.397168991260511e-07
C2,16,8,1.9977714367141725e-07
C2,16,9,2.08172408304458e-07
C2,16,10,4.323805961995318e-07
C2,16,11,4.0035682831248316e-07
C2,16,12,3.895622998112306e-07
C2,16,13,3.6257597855809977e-07
C2,16,14,2.846157348163547e-07
C2,16,15,3.1915822602036244e-07
C2,16,16,3.240754935702995e-07
C2,17,1,3.919615636794425e-07
C2,17,2,3.235962165048439e-07
C2,17,3,4.3346004904965713e-07
C2,17,4,2.849755524330631e-07
C2,17,5,2.329998238573385e-07
C2,17,6,2.536296070936985e-07
C2,17,7,2.491916166092171e-07
C2,17,8,2.139294901717926e-07
C2,17,9,2.1836748065627412e-07
C2,17,10,4.399367661504085e-07
C2,17,11,4.10791539197027e-07
C2,17,12,3.989175578456495e-07
C2,17,13,3.5573944384063994e-07
C2,17,14,2.880937318994582e-07
C2,17,15,3.2875312258750885e-07
C2,17,16,3.346303835388241e-07
C2,18,1,3.7205141567649906e-07
C2,18,2,3.088436942197989e-07
C2,18,3,4.0767335973063194e-07
C2,18,4,2.782591967995839e-07
C2,18,5,2.108113107053974e-07
C2,18,6,2.3539908772555019e-07
C2,18,7,2.264036473078398e-07
C2,18,8,1.9485915648624672e-07
C2,18,9,1.9533915318693567e-07
C2,18,10,4.121113502151135e-07
C2,18,11,3.82006129860354e-07
C2,18,12,3.760094094602916e-07
C2,18,13,3.343907450060962e-07
C2,18,14,2.6602539783149787e-07
C2,18,15,3.1352132323700834e-07
C2,18,16,3.1604004655396725e-07
C2,19,1,3.2635457835453066e-07
C2,19,2,2.6374631304726675e-07
C2,19,3,3.5034217959001373e-07
C2,19,4,2.497134259956387e-07
C2,19,5,6.926907248494277e-07
C2,19,6,4.520511056697474e-07
C2,19,7,4.4437475663489015e-07
C2,19,8,6.723012997810288e-07
C2,19,9,4.0719336302994304e-07
C2,19,10,3.413467391723033e-07
C2,19,11,3.241956726542801e-07
C2,19,12,3.231162198041549e-07
C2,19,13,2.758599329313721e-07
C2,19,14,2.163705667257368e-07
C2,19,15,2.763399296320612e-07
C2,19,16,2.738212063151023e-07
C2,20,1,2.39638532727803e-07
C2,20,2,1.9454115155527085e-07
C2,20,3,2.575092344792431e-07
C2,20,4,1.902233401547699e-07
C2,20,5,6.034559559057411e-07
C2,20,6,6.366793557268958e-07
C2,20,7,6.302026386261443e-07
C2,20,8,5.741905498683791e-07
C2,20,9,5.77189269886027e-07
C2,20,10,2.504330612290555e-07
C2,20,11,2.239267366766135e-07
C2,20,12,2.348407246266131e-07
C2,20,13,2.1421166102548637e-07
C2,20,14,1.5608075544530234e-07
C2,20,15,2.210481957429462e-07
C2,20,16,2.1049330577442166e-07
C2,21,1,1.502835847001361e-07
C2,21,2,1.255763482312361e-07
C2,21,3,1.6299738036891105e-07
C2,21,4,1.6730013273832863e-07
C2,21,5,3.719958619318076e-07
C2,21,6,5.151804607281995e-07
C2,21,7,5.101430140942816e-07
C2,21,8,3.807516638167902e-07
C2,21,9,4.2762532041930787e-07
C2,21,10,1.6167828898605807e-07
C2,21,11,2.0342807317750006e-07
C2,21,12,2.0270961368422453e-07
C2,21,13,1.3193288624800696e-07
C2,21,14,1.245038532082111e-07
C2,21,15,2.0391018136966265e-07
C2,21,16,1.2437671629713027e-07
C2,22,1,6.512698862422275e-08
C2,22,2,5.409282159024256e-08
C2,22,3,6.404753577409752e-08
C2,22,4,-4.532702874117179e-09
C2,22,5,5.5411912973095615e-08
C2,22,6,3.5602161469433367e-07
C2,22,7,2.788991728557143e-07
C2,22,8,6.968443855745151e-08
C2,22,9,2.3931923501778884e-07
C2,22,10,6.33279005406807e-08
C2,22,11,6.617444900424222e-24
C2,22,12,-6.617444900424222e-24
C2,22,13,5.2293733506700505e-08
C2,22,14,0.0
C2,22,15,0.0
C2,22,16,4.68964692560743e-08
C2,23,1,3.7183552510647404e-09
C2,23,2,5.994561494362161e-10
C2,23,3,3.598176167084131e-10
C2,23,4,0.0
C2,23,5,0.0
C2,23,6,1.617358694758829e-07
C2,23,7,0.0
C2,23,8,0.0
C2,23,9,0.0
C2,23,10,0.0
C2,23,11,5.169878828456423e-26
C2,23,12,-4.1359030627651384e-25
C2,23,13,2.279084784231088e-09
C2,23,14,5.169878828456423e-26
C2,23,15,0.0
C2,23,16,8.398143173974361e-10
C2,24,1,0.0
C2,24,2,0.0
C2,24,3,0.0
C2,24,4,0.0
C2,24,5,0.0
C2,24,6,0.0
C2,24,7,0.0
C2,24,8,0.0
C2,24,9,0.0
C2,24,10,0.0
C2,24,11,0.0
C2,24,12,0.0
C2,24,13,0.0
C2,24,14,0.0
C2,24,15,0.0
C2,24,16,0.0
C3,1,1,0.0
C3,1,2,-6.776263578034403e-21
C3,1,3,-3.3881317890172014e-21
C3,1,4,-6.776263578034403e-21
C3,1,5,-3.3881317890172014e-21
C3,1,6,-1.0164395367051604e-20
C3,1,7,-3.3881317890172014e-21
C3,1,8,-1.3552527156068805e-20
C3,1,9,-3.3881317890172014e-21
C3,1,10,-6.776263578034403e-21
C3,1,11,-1.0164395367051604e-20
C3,1,12,0.0
C3,1,13,-6.776263578034403e-21
C3,1,14,-6.776263578034403e-21
C3,1,15,-6.776263578034403e-21
C3,1,16,0.0
C3,2,1,-6.776263578034403e-21
C3,2,2,0.0
C3,2,3,-1.0164395367051604e-20
C3,2,4,-6.776263578034403e-21
C3,2,5,-3.3881317890172014e-21
C3,2,6,0.0
C3,2,7,0.0
C3,2,8,-6.776263578034403e-21
C3,2,9,-3.3881317890172014e-21
C3,2,10,-6.776263578034403e-21
C3,2,11,-1.3552527156068805e-20
C3,2,12,-6.776263578034403e-21
C3,2,13,-6.776263578034403e-21
C3,2,14,-6.776263578034403e-21
C3,2,15,-6.776263578034403e-21
C3,2,16,-6.776263578034403e-21
C3,3,1,0.0
C3,3,2,0.0
C3,3,3,-3.3881317890172014e-21
C3,3,4,0.0
C3,3,5,-3.3881317890172014e-21
C3,3,6,-3.3881317890172014e-21
C3,3,7,0.0
C3,3,8,0.0
C3,3,9,-1.0164395367051604e-20
C3,3,10,-3.3881317890172014e-21
C3,3,11,-6.776263578034403e-21
C3,3,12,0.0
C3,3,13,0.0
C3,3,14,0.0
C3,3,15,-6.776263578034403e-21
C3,3,16,-6.776263578034403e-21
C3,4,1,-6.776263578034403e-21
C3,4,2,0.0
C3,4,3,6.776263578034403e-21
C3,4,4,0.0
C3,4,5,-6.776263578034403e-21
C3,4,6,-1.3552527156068805e-20
C3,4,7,-6.776263578034403e-21
C3,4,8,-1.3552527156068805e-20
C3,4,9,0.0
C3,4,10,0.0
C3,4,11,6.776263578034403e-21
C3,4,12,0.0
C3,4,13,0.0
C3,4,14,0.0
C3,4,15,0.0
C3,4,16,6.776263578034403e-21
C3,5,1,-6.776263578034403e-21
C3,5,2,6.776263578034403e-21
C3,5,3,-1.3552527156068805e-20
C3,5,4,0.0
C3,5,5,-1.3552527156068805e-20
C3,5,6,0.0
C3,5,7,6.776263578034403e-21
C3,5,8,0.0
C3,5,9,-6.776263578034403e-21
C3,5,10,-6.776263578034403e-21
C3,5,11,-6.776263578034403e-21
C3,5,12,-6.776263578034403e-21
C3,5,13,-6.776263578034403e-21
C3,5,14,0.0
C3,5,15,0.0
C3,5,16,0.0
C3,6,1,6.776263578034403e-21
C3,6,2,-1.3552527156068805e-20
C3,6,3,0.0
C3,6,4,-2.0328790734103208e-20
C3,6,5,6.776263578034403e-21
C3,6,6,-3.3881317890172014e-20
C3,6,7,2.710505431213761e-20
C3,6,8,-1.3552527156068805e-20
C3,6,9,6.776263578034403e-21
C3,6,10,0.0
C3,6,11,-3.3881317890172014e-20
C3,6,12,-3.3881317890172014e-20
C3,6,13,6.776263578034403e-21
C3,6,14,0.0
C3,6,15,1.3552527156068805e-20
C3,6,16,-6.776263578034403e-21
C3,7,1,6.776263578034403e-21
C3,7,2,0.0
C3,7,3,-1.3552527156068805e-20
C3,7,4,-6.776263578034403e-21
C3,7,5,-1.3552527156068805e-20
C3,7,6,2.0328790734103208e-20
C3,7,7,6.776263578034403e-21
C3,7,8,0.0
C3,7,9,0.0
C3,7,10,-1.3552527156068805e-20
C3,7,11,-2.0328790734103208e-20
C3,7,12,6.776263578034403e-21
