c,h,td,slack
C1,1,1,-5.421010862427522e-20
C1,1,2,-2.710505431213761e-20
C1,1,3,0.0
C1,1,4,2.710505431213761e-20
C1,1,5,-4.0657581468206416e-20
C1,1,6,1.3552527156068805e-20
C1,1,7,-2.710505431213761e-20
C1,1,8,1.3552527156068805e-20
C1,1,9,-4.0657581468206416e-20
C1,1,10,4.0657581468206416e-20
C1,1,11,2.710505431213761e-20
C1,1,12,5.421010862427522e-20
C1,1,13,0.0
C1,1,14,5.421010862427522e-20
C1,1,15,-5.421010862427522e-20
C1,1,16,-4.0657581468206416e-20
C1,2,1,0.0
C1,2,2,-1.3552527156068805e-20
C1,2,3,1.3552527156068805e-20
C1,2,4,0.0
C1,2,5,4.0657581468206416e-20
C1,2,6,1.3552527156068805e-20
C1,2,7,1.3552527156068805e-20
C1,2,8,-1.3552527156068805e-20
C1,2,9,4.0657581468206416e-20
C1,2,10,2.710505431213761e-20
C1,2,11,4.0657581468206416e-20
C1,2,12,4.0657581468206416e-20
C1,2,13,5.421010862427522e-20
C1,2,14,5.421010862427522e-20
C1,2,15,-4.0657581468206416e-20
C1,2,16,1.3552527156068805e-20
C1,3,1,8.131516293641283e-20
C1,3,2,-4.0657581468206416e-20
C1,3,3,1.3552527156068805e-20
C1,3,4,4.0657581468206416e-20
C1,3,5,0.0
C1,3,6,1.3552527156068805e-20
C1,3,7,-1.3552527156068805e-20
C1,3,8,-2.710505431213761e-20
C1,3,9,-2.710505431213761e-20
C1,3,10,5.421010862427522e-20
C1,3,11,0.0
C1,3,12,-8.131516293641283e-20
C1,3,13,-1.3552527156068805e-20
C1,3,14,5.421010862427522e-20
C1,3,15,0.0
C1,3,16,0.0
C1,4,1,0.0
C1,4,2,2.710505431213761e-20
C1,4,3,0.0
C1,4,4,5.421010862427522e-20
C1,4,5,0.0
C1,4,6,-1.3552527156068805e-20
C1,4,7,2.710505431213761e-20
C1,4,8,-1.3552527156068805e-20
C1,4,9,-6.776263578034403e-20
C1,4,10,-2.710505431213761e-20
C1,4,11,-2.710505431213761e-20
C1,4,12,-2.710505431213761e-20
C1,4,13,5.421010862427522e-20
C1,4,14,5.421010862427522e-20
C1,4,15,-2.710505431213761e-20
C1,4,16,-4.0657581468206416e-20
C1,5,1,-2.710505431213761e-20
C1,5,2,-2.710505431213761e-20
C1,5,3,1.3552527156068805e-20
C1,5,4,5.421010862427522e-20
C1,5,5,0.0
C1,5,6,-2.710505431213761e-20
C1,5,7,1.3552527156068805e-20
C1,5,8,0.0
C1,5,9,-4.0657581468206416e-20
C1,5,10,2.710505431213761e-20
C1,5,11,-9.486769009248164e-20
C1,5,12,2.710505431213761e-20
C1,5,13,0.0
C1,5,14,5.421010862427522e-20
C1,5,15,0.0
C1,5,16,-4.0657581468206416e-20
C1,6,1,2.710505431213761e-20
C1,6,2,-5.421010862427522e-20
C1,6,3,2.710505431213761e-20
C1,6,4,5.421010862427522e-20
C1,6,5,-2.710505431213761e-20
C1,6,6,2.710505431213761e-20
C1,6,7,2.710505431213761e-20
C1,6,8,-2.710505431213761e-20
C1,6,9,-5.421010862427522e-20
C1,6,10,-2.710505431213761e-20
C1,6,11,-2.710505431213761e-20
C1,6,12,0.0
C1,6,13,5.421010862427522e-20
C1,6,14,5.421010862427522e-20
C1,6,15,5.421010862427522e-20
C1,6,16,0.0
C1,7,1,-5.421010862427522e-20
C1,7,2,-2.710505431213761e-20
C1,7,3,0.0
C1,7,4,5.421010862427522e-20
C1,7,5,0.0
C1,7,6,0.0
C1,7,7,2.710505431213761e-20
C1,7,8,0.0
C1,7,9,-2.710505431213761e-20
C1,7,10,2.710505431213761e-20
C1,7,11,0.0
C1,7,12,0.0
C1,7,13,0.0
