param end_uses_demand_year : 	HOUSEHOLDS	SERVICES	INDUSTRY	TRANSPORTATION	PUBLIC_LIGHTING	AGRICULTURE	MINING	FISHING_OTHERS := 
SA-SC	MECHANICAL_ENERGY_FIX_AGR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-SC	MECHANICAL_ENERGY_MIN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-SC	MECHANICAL_ENERGY_FISH_OTHERS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-SC	NON_ENERGY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-TJ	ELECTRICITY	19.62112652	7.12014	0.744335	0.0	0.0	0.0	0.0	0.0
SA-TJ	LIGHTING_R_C	0.211355363	0.0	0.089566515	0.0	0.0	0.0	0.0	0.0
SA-TJ	LIGHTING_P	0.0	0.2498171	0.0	0.0	0.0	0.0	0.0	0.0
SA-TJ	HEAT_HIGH_T	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-TJ	HEAT_LOW_T_SH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-TJ	HEAT_LOW_T_HW	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-TJ	COOKING	26.92407142	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-TJ	PROCESS_COOLING	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-TJ	SPACE_COOLING	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-TJ	FOOD_PRESERVATION	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-TJ	MOBILITY_PASSENGER	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-TJ	MOBILITY_FREIGHT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-TJ	AVIATION_LONG_HAUL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-TJ	SHIPPING	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-TJ	MECHANICAL_ENERGY_COMM	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-TJ	MECHANICAL_ENERGY_IND	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-TJ	MECHANICAL_ENERGY_MOV_AGR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-TJ	MECHANICAL_ENERGY_FIX_AGR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-TJ	MECHANICAL_ENERGY_MIN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-TJ	MECHANICAL_ENERGY_FISH_OTHERS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SA-TJ	NON_ENERGY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SIN	ELECTRICITY	658.4217389	1011.477031	0.0	0.0	0.0	0.0	0.0	0.0
SIN	LIGHTING_R_C	45.66551959	30.13594687	23.56550206	0.0	0.0	0.0	0.0	0.0
SIN	LIGHTING_P	0.0	0.0	0.0	0.0	51.61573875	0.0	0.0	0.0
SIN	HEAT_HIGH_T	0.0	0.0	13168.27434	0.0	0.0	0.0	0.0	0.0
SIN	HEAT_LOW_T_SH	21.24643218	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SIN	HEAT_LOW_T_HW	1161.432114	137.4134233	0.0	0.0	0.0	0.0	0.0	0.0
SIN	COOKING	4512.161131	304.1741743	0.0	0.0	0.0	0.0	0.0	0.0
SIN	PROCESS_COOLING	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SIN	SPACE_COOLING	962.0199082	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SIN	FOOD_PRESERVATION	338.4616458	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SIN	MOBILITY_PASSENGER	0.0	0.0	0.0	344322.0993	0.0	0.0	0.0	0.0
SIN	MOBILITY_FREIGHT	0.0	0.0	0.0	14776.917819153	0.0	0.0	0.0	0.0
SIN	AVIATION_LONG_HAUL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SIN	SHIPPING	0.0	0.0	0.0	107.4093676	0.0	0.0	0.0	0.0
SIN	MECHANICAL_ENERGY_COMM	0.0	76.33031871	0.0	0.0	0.0	0.0	0.0	0.0
SIN	MECHANICAL_ENERGY_IND	0.0	0.0	1581.451346	0.0	0.0	0.0	0.0	0.0
SIN	MECHANICAL_ENERGY_MOV_AGR	0.0	0.0	0.0	0.0	0.0	50.119291	0.0	0.0
SIN	MECHANICAL_ENERGY_FIX_AGR	0.0	0.0	0.0	0.0	0.0	210.6058639	0.0	0.0
SIN	MECHANICAL_ENERGY_MIN	0.0	0.0	0.0	0.0	0.0	0.0	1549.33326	0.0
SIN	MECHANICAL_ENERGY_FISH_OTHERS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	445.2801227
SIN	NON_ENERGY	0.0	0.0	670.9502525	0.0	0.0	0.0	0.0	0.0
;
