param : 	avail_local	avail_exterior	gwp_op_local	c_op_local := 
SA-BN	ELECTRICITY	0.0	0.0	0.206485714	1.063732
SA-BN	GASOLINE	0.0	0.0	0.3448	0.124118331
SA-BN	DIESEL	0.0	1.0	0.3148	0.111311495
SA-BN	GASOLINE_RE	0.0	0.0	0.0	0.122502774
SA-BN	DIESEL_RE	0.0	0.0	0.0	0.131394244
SA-BN	LFO	0.0	0.0	0.3115	0.085115655
SA-BN	LFO_RE	0.0	0.0	0.0	0.1502
SA-BN	JET_FUEL	0.0	0.0	0.3148	0.085115655
SA-BN	JET_FUEL_RE	0.0	0.0	0.0	0.1502
SA-BN	GAS	0.0	1.0	0.2666	0.010662519
SA-BN	GAS_RE	0.0	0.0	0.0	0.132345636
SA-BN	WOOD	22.981848591	0.0	0.02456	0.016980597
SA-BN	WET_BIOMASS	0.0	0.0	0.01056	0.010318121
SA-BN	ENERGY_CROPS_2	0.0	0.0	0.00756	0.010318121
SA-BN	BIOWASTE	0.0	0.0	0.00324	0.010318121
SA-BN	BIOMASS_RESIDUES	22.981848591	0.0	0.01488	0.010318121
SA-BN	COAL	0.0	0.0	0.4	0.017657892
SA-BN	URANIUM	0.0	0.0	0.0	0.003876456
SA-BN	WASTE	0.0	0.0	0.15	0.008096237
SA-BN	H2	0.0	0.0	0.36	0.088003981
SA-BN	H2_RE	0.0	0.0	0.0	0.119242396
SA-BN	AMMONIA	0.0	0.0	0.46	0.094714031
SA-BN	METHANOL	0.0	0.0	0.41	0.101985823
SA-BN	AMMONIA_RE	0.0	0.0	0.0	0.081823311
SA-BN	METHANOL_RE	0.0	0.0	0.0	0.111323944
SA-BN	CO2_EMISSIONS	0.0	Infinity	0.0	0.0
SA-BN	RES_WIND	Infinity	0.0	0.0	0.0
SA-BN	RES_SOLAR	Infinity	0.0	0.0	0.0
SA-BN	RES_HYDRO	Infinity	0.0	0.0	0.0
SA-BN	RES_GEO	Infinity	0.0	0.0	0.0
SA-BN	CO2_ATM	0.0	Infinity	0.0	0.0
SA-BN	CO2_INDUSTRY	0.0	0.0	0.0	0.0
SA-BN	CO2_CAPTURED	0.0	0.0	0.0	0.0
SA-BN	PT_HEAT	0.0	0.0	0.0	0.0
SA-BN	ST_HEAT	0.0	0.0	0.0	0.0
SA-BN	LPG	0.0	1.0	0.28360908	0.021578745
SA-BN	LNG	0.0	0.5	0.2666	0.1987557
SA-BN	CO2_EMISSIONS_CAPTURED	0.0	Infinity	0.0	0.0
SA-BN	CO2_EMISSIONS_ATM	0.0	Infinity	0.0	0.0
SA-PA	ELECTRICITY	0.0	0.0	0.412971429	0.063732
SA-PA	GASOLINE	0.0	1.0	0.3448	0.053479557
SA-PA	DIESEL	0.0	116.409585	0.3148	0.046630491
SA-PA	GASOLINE_RE	0.0	0.0	0.0	0.122502774
SA-PA	DIESEL_RE	0.0	0.0	0.0	0.131394244
SA-PA	LFO	0.0	1.0	0.3115	0.03545419
SA-PA	LFO_RE	0.0	0.0	0.0	0.1502
SA-PA	JET_FUEL	0.0	1.0	0.3115	0.03545419
SA-PA	JET_FUEL_RE	0.0	0.0	0.0	0.1502
SA-PA	GAS	0.0	1.0	0.2666	0.003808043
SA-PA	GAS_RE	0.0	0.0	0.0	0.132345636
SA-PA	WOOD	58.38846907	Infinity	0.0118	0.016980597
SA-PA	WET_BIOMASS	0.0	0.0	0.01056	0.010318121
SA-PA	ENERGY_CROPS_2	0.0	0.0	0.00756	0.010318121
SA-PA	BIOWASTE	0.0	0.0	0.00324	0.010318121
SA-PA	BIOMASS_RESIDUES	226.761768	0.0	0.0118	0.010318121
SA-PA	COAL	0.0	0.0	0.4	0.017657892
SA-PA	URANIUM	0.0	0.0	0.0	0.003876456
SA-PA	WASTE	0.0	0.0	0.1501	0.021187834
SA-PA	H2	0.0	0.0	0.36	0.088003981
SA-PA	H2_RE	0.0	0.0	0.0	0.119242396
SA-PA	AMMONIA	0.0	0.0	0.46	0.094714031
SA-PA	METHANOL	0.0	0.0	0.41	0.101985823
SA-PA	AMMONIA_RE	0.0	0.0	0.0	0.081823311
SA-PA	METHANOL_RE	0.0	0.0	0.0	0.111323944
SA-PA	CO2_EMISSIONS	0.0	Infinity	0.0	0.0
SA-PA	RES_WIND	Infinity	0.0	0.0	0.0
SA-PA	RES_SOLAR	Infinity	0.0	0.0	0.0
SA-PA	RES_HYDRO	Infinity	0.0	0.0	0.0
SA-PA	RES_GEO	Infinity	0.0	0.0	0.0
SA-PA	CO2_ATM	0.0	Infinity	0.0	0.0
SA-PA	CO2_INDUSTRY	0.0	0.0	0.0	0.0
SA-PA	CO2_CAPTURED	0.0	0.0	0.0	0.0
SA-PA	PT_HEAT	0.0	0.0	0.0	0.0
SA-PA	ST_HEAT	0.0	0.0	0.0	0.0
SA-PA	LPG	0.0	1.0	0.28360908	0.021578745
SA-PA	LNG	0.0	1.0	0.2666	0.010662519
SA-PA	CO2_EMISSIONS_CAPTURED	0.0	Infinity	0.0	0.0
SA-PA	CO2_EMISSIONS_ATM	0.0	Infinity	0.0	0.0
SA-SC	ELECTRICITY	0.0	100.0	0.206485714	1.063732
SA-SC	GASOLINE	0.0	0.0	0.3448	0.124118331
SA-SC	DIESEL	0.0	0.0	0.3148	0.111311495
SA-SC	GASOLINE_RE	0.0	0.0	0.0	0.122502774
SA-SC	DIESEL_RE	0.0	0.0	0.0	0.131394244
SA-SC	LFO	0.0	0.0	0.3115	0.085115655
SA-SC	LFO_RE	0.0	0.0	0.0	0.1502
SA-SC	JET_FUEL	0.0	0.0	0.3148	0.085115655
SA-SC	JET_FUEL_RE	0.0	0.0	0.0	0.1502
SA-SC	GAS	0.0	4.0	0.2666	0.010662519
SA-SC	GAS_RE	0.0	0.0	0.0	0.132345636
SA-SC	WOOD	463.5374284	0.0	0.02456	0.016980597
SA-SC	WET_BIOMASS	0.0	0.0	0.01056	0.010318121
SA-SC	ENERGY_CROPS_2	0.0	0.0	0.00756	0.010318121
SA-SC	BIOWASTE	0.0	0.0	0.00324	0.010318121
SA-SC	BIOMASS_RESIDUES	463.5374284	0.0	0.01488	0.010318121
SA-SC	COAL	0.0	0.0	0.4	0.017657892
SA-SC	URANIUM	0.0	0.0	0.0	0.003876456
SA-SC	WASTE	0.0	0.0	0.15	0.008096237
SA-SC	H2	0.0	0.0	0.36	0.088003981
SA-SC	H2_RE	0.0	0.0	0.0	0.119242396
SA-SC	AMMONIA	0.0	0.0	0.46	0.094714031
SA-SC	METHANOL	0.0	0.0	0.41	0.101985823
SA-SC	AMMONIA_RE	0.0	0.0	0.0	0.081823311
SA-SC	METHANOL_RE	0.0	0.0	0.0	0.111323944
SA-SC	CO2_EMISSIONS	0.0	Infinity	0.0	0.0
SA-SC	RES_WIND	Infinity	0.0	0.0	0.0
SA-SC	RES_SOLAR	Infinity	0.0	0.0	0.0
SA-SC	RES_HYDRO	Infinity	0.0	0.0	0.0
SA-SC	RES_GEO	Infinity	0.0	0.0	0.0
SA-SC	CO2_ATM	0.0	Infinity	0.0	0.0
SA-SC	CO2_INDUSTRY	0.0	0.0	0.0	0.0
SA-SC	CO2_CAPTURED	0.0	0.0	0.0	0.0
SA-SC	PT_HEAT	0.0	0.0	0.0	0.0
SA-SC	ST_HEAT	0.0	0.0	0.0	0.0
SA-SC	LPG	0.0	4.0	0.28360908	0.021578745
SA-SC	LNG	0.0	2.0	0.2666	0.1987557
SA-SC	CO2_EMISSIONS_CAPTURED	0.0	Infinity	0.0	0.0
SA-SC	CO2_EMISSIONS_ATM	0.0	Infinity	0.0	0.0
SA-TJ	ELECTRICITY	0.0	0.0	0.206485714	1.063732
SA-TJ	GASOLINE	0.0	0.0	0.3448	0.124118331
SA-TJ	DIESEL	0.0	0.0	0.3148	0.111311495
SA-TJ	GASOLINE_RE	0.0	0.0	0.0	0.122502774
SA-TJ	DIESEL_RE	0.0	0.0	0.0	0.131394244
SA-TJ	LFO	0.0	0.0	0.3115	0.085115655
SA-TJ	LFO_RE	0.0	0.0	0.0	0.1502
SA-TJ	JET_FUEL	0.0	0.0	0.3148	0.085115655
SA-TJ	JET_FUEL_RE	0.0	0.0	0.0	0.1502
SA-TJ	GAS	0.0	1.5	0.2666	0.010662519
SA-TJ	GAS_RE	0.0	0.0	0.0	0.132345636
SA-TJ	WOOD	175.0189406	0.0	0.02456	0.016980597
SA-TJ	WET_BIOMASS	0.0	0.0	0.01056	0.010318121
SA-TJ	ENERGY_CROPS_2	0.0	0.0	0.00756	0.010318121
SA-TJ	BIOWASTE	0.0	0.0	0.00324	0.010318121
SA-TJ	BIOMASS_RESIDUES	175.0189406	0.0	0.01488	0.010318121
SA-TJ	COAL	0.0	0.0	0.4	0.017657892
SA-TJ	URANIUM	0.0	0.0	0.0	0.003876456
SA-TJ	WASTE	0.0	0.0	0.15	0.008096237
SA-TJ	H2	0.0	0.0	0.36	0.088003981
SA-TJ	H2_RE	0.0	0.0	0.0	0.119242396
SA-TJ	AMMONIA	0.0	0.0	0.46	0.094714031
SA-TJ	METHANOL	0.0	0.0	0.41	0.101985823
SA-TJ	AMMONIA_RE	0.0	0.0	0.0	0.081823311
SA-TJ	METHANOL_RE	0.0	0.0	0.0	0.111323944
SA-TJ	CO2_EMISSIONS	0.0	Infinity	0.0	0.0
SA-TJ	RES_WIND	Infinity	0.0	0.0	0.0
SA-TJ	RES_SOLAR	Infinity	0.0	0.0	0.0
SA-TJ	RES_HYDRO	Infinity	0.0	0.0	0.0
SA-TJ	RES_GEO	Infinity	0.0	0.0	0.0
SA-TJ	CO2_ATM	0.0	Infinity	0.0	0.0
SA-TJ	CO2_INDUSTRY	0.0	0.0	0.0	0.0
SA-TJ	CO2_CAPTURED	0.0	0.0	0.0	0.0
SA-TJ	PT_HEAT	0.0	0.0	0.0	0.0
SA-TJ	ST_HEAT	0.0	0.0	0.0	0.0
SA-TJ	LPG	0.0	1.5	0.28360908	0.021578745
SA-TJ	LNG	0.0	0.0	0.2666	0.1987557
SA-TJ	CO2_EMISSIONS_CAPTURED	0.0	Infinity	0.0	0.0
SA-TJ	CO2_EMISSIONS_ATM	0.0	Infinity	0.0	0.0
SIN	ELECTRICITY	0.0	100.0	0.206485714	1.063732
SIN	GASOLINE	Infinity	0.0	0.3448	0.124118331
SIN	DIESEL	Infinity	0.0	0.3148	0.111311495
SIN	GASOLINE_RE	0.0	0.0	0.0	0.122502774
SIN	DIESEL_RE	0.0	0.0	0.0	0.131394244
SIN	LFO	Infinity	0.0	0.3115	0.03545419
SIN	LFO_RE	0.0	0.0	0.0	0.1502
SIN	JET_FUEL	Infinity	0.0	0.3115	0.03545419
SIN	JET_FUEL_RE	0.0	0.0	0.0	0.1502
SIN	GAS	35935.8852	0.0	0.2666	0.003808043
SIN	GAS_RE	0.0	0.0	0.0	0.132345636
SIN	WOOD	11247.22222	0.0	0.0118	0.016980597
SIN	WET_BIOMASS	0.0	0.0	0.01056	0.010318121
SIN	ENERGY_CROPS_2	0.0	0.0	0.00756	0.010318121
SIN	BIOWASTE	0.0	0.0	0.00324	0.010318121
SIN	BIOMASS_RESIDUES	35824.71521	0.0	0.0118	0.010318121
SIN	COAL	0.0	0.0	0.4	0.017657892
SIN	URANIUM	0.0	0.0	0.0	0.003876456
SIN	WASTE	Infinity	0.0	0.1501	0.021187834
SIN	H2	0.0	0.0	0.36	0.088003981
SIN	H2_RE	0.0	0.0	0.0	0.119242396
SIN	AMMONIA	0.0	0.0	0.46	0.094714031
SIN	METHANOL	0.0	0.0	0.41	0.101985823
SIN	AMMONIA_RE	0.0	0.0	0.0	0.081823311
SIN	METHANOL_RE	0.0	0.0	0.0	0.111323944
SIN	CO2_EMISSIONS	0.0	Infinity	0.0	0.0
SIN	RES_WIND	Infinity	0.0	0.0	0.0
SIN	RES_SOLAR	Infinity	0.0	0.0	0.0
SIN	RES_HYDRO	Infinity	0.0	0.0	0.0
SIN	RES_GEO	Infinity	0.0	0.0	0.0
SIN	CO2_ATM	0.0	Infinity	0.0	0.0
SIN	CO2_INDUSTRY	0.0	0.0	0.0	0.0
SIN	CO2_CAPTURED	0.0	0.0	0.0	0.0
SIN	PT_HEAT	0.0	0.0	0.0	0.0
SIN	ST_HEAT	0.0	0.0	0.0	0.0
SIN	LPG	Infinity	0.0	0.28360908	0.021578745
SIN	LNG	0.0	0.0	0.2666	0.1987557
SIN	CO2_EMISSIONS_CAPTURED	0.0	Infinity	0.0	0.0
SIN	CO2_EMISSIONS_ATM	0.0	Infinity	0.0	0.0
;
