Resources;From;To;Typical_days;Hours;Exch_exp;Exch_imp;Balance
DIESEL;C1;C1;7;23;;;
DIESEL;C1;C1;7;24;;;
DIESEL;C1;C1;8;1;;;
DIESEL;C1;C1;8;2;;;
DIESEL;C1;C1;8;3;;;
DIESEL;C1;C1;8;4;;;
DIESEL;C1;C1;8;5;;;
DIESEL;C1;C1;8;6;;;
DIESEL;C1;C1;8;7;;;
DIESEL;C1;C1;8;8;;;
DIESEL;C1;C1;8;9;;;
DIESEL;C1;C1;8;10;;;
DIESEL;C1;C1;8;11;;;
DIESEL;C1;C1;8;12;;;
DIESEL;C1;C1;8;13;;;
DIESEL;C1;C1;8;14;;;
DIESEL;C1;C1;8;15;;;
DIESEL;C1;C1;8;16;;;
DIESEL;C1;C1;8;17;;;
DIESEL;C1;C1;8;18;;;
DIESEL;C1;C1;8;19;;;
DIESEL;C1;C1;8;20;;;
DIESEL;C1;C1;8;21;;;
DIESEL;C1;C1;8;22;;;
DIESEL;C1;C1;8;23;;;
DIESEL;C1;C1;8;24;;;
DIESEL;C1;C1;9;1;;;
DIESEL;C1;C1;9;2;;;
DIESEL;C1;C1;9;3;;;
DIESEL;C1;C1;9;4;;;
DIESEL;C1;C1;9;5;;;
DIESEL;C1;C1;9;6;;;
DIESEL;C1;C1;9;7;;;
DIESEL;C1;C1;9;8;;;
DIESEL;C1;C1;9;9;;;
DIESEL;C1;C1;9;10;;;
DIESEL;C1;C1;9;11;;;
DIESEL;C1;C1;9;12;;;
DIESEL;C1;C1;9;13;;;
DIESEL;C1;C1;9;14;;;
DIESEL;C1;C1;9;15;;;
DIESEL;C1;C1;9;16;;;
DIESEL;C1;C1;9;17;;;
DIESEL;C1;C1;9;18;;;
DIESEL;C1;C1;9;19;;;
DIESEL;C1;C1;9;20;;;
DIESEL;C1;C1;9;21;;;
DIESEL;C1;C1;9;22;;;
DIESEL;C1;C1;9;23;;;
DIESEL;C1;C1;9;24;;;
DIESEL;C1;C1;10;1;;;
DIESEL;C1;C1;10;2;;;
DIESEL;C1;C1;10;3;;;
DIESEL;C1;C1;10;4;;;
DIESEL;C1;C1;10;5;;;
DIESEL;C1;C1;10;6;;;
