Regions;Technologies;F;f_min;f_max;F_year
C1;TS_DEC_THHP_GAS;;;;0.0
C1;TS_DEC_COGEN_GAS;;;;0.0
C1;TS_DEC_COGEN_OIL;;;;0.0
C1;TS_DEC_ADVCOGEN_GAS;;;;0.0
C1;TS_DEC_ADVCOGEN_H2;;;;0.0
C1;TS_DEC_BOILER_GAS;3.306844113745545e-05;;1000000000000000.0;-0.0010333471005770942
C1;TS_DEC_BOILER_WOOD;;;;0.0
C1;TS_DEC_BOILER_OIL;;;;0.0
C1;TS_DHN_DAILY;;;;0.0
C1;TS_DHN_SEASONAL;;;;0.0
C1;TS_HIGH_TEMP;;;;0.0
C1;GAS_STORAGE;;;;0.0
C1;H2_STORAGE;;;;0.0
C1;DIESEL_STORAGE;3.916986872712502;3.912045650817679;1000000000000000.0;-1.1237566931686371e-08
C1;JET_FUEL_STORAGE;0.1926407296821226;0.1437471679033178;1000000000000000.0;1.4405914489199097e-09
C1;GASOLINE_STORAGE;3.627880744854721;3.621354351614265;1000000000000000.0;5.413085880402735e-08
C1;LFO_STORAGE;;;;0.0
C1;AMMONIA_STORAGE;;;;0.0
C1;METHANOL_STORAGE;;;;0.0
C1;PT_STORAGE;;;;0.0
C1;ST_STORAGE;;;;0.0
C1;TS_COLD;;;;0.0
C1;CO2_STORAGE;;;;0.0
C1;STOVE_WOOD;0.003303853962545845;0.0033037364992389;1000000000000000.0;9.980506420567029e-05
C1;STOVE_LPG;0.01530312104163396;0.0153030325650365;1000000000000000.0;13.794937477433116
C1;STOVE_NG;5.303124299118039e-05;5.282102761992208e-05;1000000000000000.0;2.3266658723281675e-05
C1;STOVE_OIL;0.0001801508583254241;0.0001801424845521;1000000000000000.0;
C1;STOVE_ELEC;0.001021121002515793;;1000000000000000.0;0.6146411594305553
C1;PLANE;;;;
C1;FERMENTATION_TO_BIOETHANOL;;;;
C1;ESTERIFICATION_TO_BIODIESEL;;;;
C1;IND_BOILER_DIESEL;3.157805516539692e-05;3.1578055165396924e-05;1000000000000000.0;
C1;IND_BOILER_LPG;;;;
C1;LPG_STORAGE;0.5556076104249433;0.0665568286472938;1000000000000000.0;4.495465848533553e-12
C1;LNG_STORAGE;0.1121516471312004;;1000000000000000.0;-2.0719460522289346e-10
C1;CAR_FG_PRIVATE;;;;
