;ELECTRICITY;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
2017-01-01 00:00:00+00:00;7.12E-05;0.000120916;0.000165051;6.77E-06;0.000114155;0;0.007;0.091;0.66131025;0.174718395;0.0001;0;0.0001
2017-01-01 01:00:00+00:00;6.82E-05;7.51E-05;0.000164627;0.00000375;0.000114155;0;0.009;0.089;0.577786563;0.177088607;0.0001;0;0.0001
2017-01-01 02:00:00+00:00;6.47E-05;3.17E-05;0.000164203;0.00000238;0.000114155;0;0.01;0.08;0.537201804;0.180474622;0.0001;0;0.0001
2017-01-01 03:00:00+00:00;6.22E-05;0;0.000164203;0.0000083;0.000114155;0;0.004;0.065;0.503975588;0.178104411;0.0001;0;0.0001
2017-01-01 04:00:00+00:00;6.06E-05;0;0.000164203;0.0000249;0.000114155;0;0.001;0.037;0.47923566;0.192664277;0.0001;0;0.0001
2017-01-01 05:00:00+00:00;5.54E-05;0;0.000164203;0.0000693;0.000114155;0;0.002;0.015;0.418351473;0.19537309;0.0001;0;0.0001
2017-01-01 06:00:00+00:00;4.81E-05;0;0.000164203;0.000143;0.000114155;0.071;0.002;0.003;0.377907682;0.198759106;0.0001;0.015;0.0001
2017-01-01 07:00:00+00:00;4.83E-05;0;0.000164627;0.00019;0.000114155;0.22;0;0.001;0.399955117;0.193341481;0.0001;0.106;0.0001
2017-01-01 08:00:00+00:00;4.98E-05;0;0.000165051;0.000168;0.000114155;0.341;0.001;0.018;0.412473097;0.254289758;0.0001;0.174;0.0001
2017-01-01 09:00:00+00:00;5.17E-05;0;0.000165476;0.000165;0.000114155;0.422;0.003;0.049;0.447771547;0.236005275;0.0001;0.204;0.0001
2017-01-01 10:00:00+00:00;5.53E-05;0;0.000166324;0.000179;0.000114155;0.479;0.012;0.094;0.502551809;0.178104411;0.0001;0.227;0.0001
2017-01-01 11:00:00+00:00;6.03E-05;0;0.000167173;0.000196;0.000114155;0.491;0.026;0.121;0.556204324;0.209255752;0.0001;0.212;0.0001
2017-01-01 12:00:00+00:00;6.30E-05;0;0.000168021;0.000195;0.000114155;0.528;0.039;0.117;0.576235912;0.223815619;0.0001;0.277;0.0001
2017-01-01 13:00:00+00:00;6.16E-05;0;0.00016887;0.000185;0.000114155;0.525;0.05;0.102;0.612986334;0.224492823;0.0001;0.314;0.0001
2017-01-01 14:00:00+00:00;6.10E-05;0;0.000169718;1.99E-04;0.000114155;0.471;0.06;0.089;0.598198766;0.440182005;0.0001;0.274;0.0001
2017-01-01 15:00:00+00:00;5.82E-05;0;0.000170991;2.16E-04;0.000114155;0.336;0.067;0.083;0.632129823;0.438827598;0.0001;0.128;0.0001
2017-01-01 16:00:00+00:00;0.0000577;0;0.000172264;2.24E-04;0.000114155;0.199;0.069;0.087;0.607883283;0.459482293;0.0001;0.043;0.0001
2017-01-01 17:00:00+00:00;0.0000558;0;0.000173537;1.98E-04;0.000114155;0.081;0.059;0.089;0.577053528;0.736458354;0.0001;0.009;0.0001
2017-01-01 18:00:00+00:00;0.0000532;0;0.00017481;1.37E-04;0.000114155;0.005;0.076;0.118;0.684118913;0.891876461;0.0001;0;0.0001
2017-01-01 19:00:00+00:00;7.04E-05;0;0.000176083;9.07E-05;0.000114155;0;0.121;0.187;0.831205184;0.88273422;0.0001;0;0.0001
2017-01-01 20:00:00+00:00;7.32E-05;0;0.00017778;6.33E-05;0.000114155;0;0.124;0.209;0.748005723;0.871560368;0.0001;0;0.0001
2017-01-01 21:00:00+00:00;6.94E-05;0;0.000179053;4.11E-05;0.000114155;0;0.093;0.156;0.626646158;0.798422436;0.0001;0;0.0001
2017-01-01 22:00:00+00:00;6.43E-05;0;0.00018075;2.46E-05;0.000114155;0;0.062;0.106;0.612788978;0.287134108;0.0001;0;0.0001
2017-01-01 23:00:00+00:00;6.28E-05;0;0.000182023;8.08E-06;0.000114155;0;0.04;0.076;0.563999868;0.166253357;0.0001;0;0.0001
2017-01-02 00:00:00+00:00;5.92E-05;0;0.00018372;6.77E-06;0.000114155;0;0.026;0.057;0.582410322;0.430286377;0.0001;0;0.0001
2017-01-02 01:00:00+00:00;5.63E-05;0;0.000185417;0.00000375;0.000114155;0;0.018;0.049;0.584200619;0.43081121;0.0001;0;0.0001
2017-01-02 02:00:00+00:00;5.44E-05;0;0.00018669;0.00000238;0.000114155;0;0.015;0.048;0.592926552;0.45615553;0.0001;0;0.0001
2017-01-02 03:00:00+00:00;5.35E-05;0;0.000188388;0.0000083;0.000114155;0;0.01;0.044;0.583664939;0.452947275;0.0001;0;0.0001
2017-01-02 04:00:00+00:00;5.30E-05;0;0.000190085;0.0000249;0.000114155;0;0.004;0.045;0.599580255;0.454614892;0.0001;0;0.0001
2017-01-02 05:00:00+00:00;4.76E-05;0;0.000191782;0.0000693;0.000114155;0;0.001;0.064;0.619978361;0.458161752;0.0001;0;0.0001
2017-01-02 06:00:00+00:00;4.30E-05;0;0.000193055;0.000143;0.000114155;0.031;0;0.035;0.604288594;0.447504261;0.0001;0.001;0.0001
2017-01-02 07:00:00+00:00;4.56E-05;0;0.000194752;0.00019;0.000114155;0.112;0.002;0.002;0.580591832;0.410723668;0.0001;0.007;0.0001
2017-01-02 08:00:00+00:00;0.0000532;0;0.000196449;0.000168;0.000114155;0.214;0.009;0;0.628577423;0.271219835;0.0001;0.021;0.0001
2017-01-02 09:00:00+00:00;0.0000575;0;0.000197722;0.000165;0.000114155;0.275;0.033;0.008;0.607728219;0.326411886;0.0001;0.029;0.0001
2017-01-02 10:00:00+00:00;0.0000613;0;0.000198995;0.000179;0.000114155;0.309;0.057;0.019;0.589303669;0.365351063;0.0001;0.031;0.0001
2017-01-02 11:00:00+00:00;0.0000648;0;0.000200692;0.000196;0.000114155;0.346;0.069;0.024;0.623305211;0.362980853;0.0001;0.039;0.0001
2017-01-02 12:00:00+00:00;0.0000638;0;0.000201965;0.000195;0.000114155;0.373;0.073;0.018;0.586286948;0.367044072;0.0001;0.05;0.0001
2017-01-02 13:00:00+00:00;0.0000666;0;0.000203238;0.000185;0.000114155;0.365;0.074;0.01;0.612845367;0.571517079;0.0001;0.052;0.0001
2017-01-02 14:00:00+00:00;0.0000691;0;0.000204511;1.99E-04;0.000114155;0.309;0.073;0.004;0.619654133;0.561435218;0.0001;0.038;0.0001
2017-01-02 15:00:00+00:00;0.0000693;0;0.000205784;2.16E-04;0.000114155;0.223;0.077;0.002;0.61345153;0.566302618;0.0001;0.02;0.0001
2017-01-02 16:00:00+00:00;0.0000689;0;0.000206632;2.24E-04;0.000114155;0.134;0.081;0.001;0.610815424;0.551217919;0.0001;0.009;0.0001
2017-01-02 17:00:00+00:00;0.0000662;0;0.000207905;1.98E-04;0.000114155;0.056;0.08;0.004;0.551481888;0.781797093;0.0001;0.002;0.0001
2017-01-02 18:00:00+00:00;0.0000638;0;0.000208754;1.37E-04;0.000114155;0.003;0.123;0.021;0.692238685;0.86619353;0.0001;0;0.0001
2017-01-02 19:00:00+00:00;0.0000799;0;0.000209602;9.07E-05;0.000114155;0;0.233;0.093;0.801714627;0.872000551;0.0001;0;0.0001
2017-01-02 20:00:00+00:00;0.000082;0;0.000210451;6.33E-05;0.000114155;0;0.237;0.193;0.765302529;0.861292282;0.0001;0;0.0001
2017-01-02 21:00:00+00:00;8.00E-05;0;0.000210875;4.11E-05;0.000114155;0;0.186;0.236;0.699921453;0.863611698;0.0001;0;0.0001
2017-01-02 22:00:00+00:00;7.42E-05;0;0.0002113;2.46E-05;0.000114155;0;0.156;0.169;0.629620587;0.584290815;0.0001;0;0.0001
2017-01-02 23:00:00+00:00;7.03E-05;0;0.000211724;8.08E-06;0.000114155;0;0.138;0.135;0.663650324;0.231264853;0.0001;0;0.0001
2017-01-03 00:00:00+00:00;6.48E-05;0;0.000212148;6.77E-06;0.000114155;0;0.103;0.133;0.676196498;0.232280658;0.0001;0;0.0001
2017-01-03 01:00:00+00:00;6.07E-05;0;0.000212148;0.00000375;0.000114155;0;0.068;0.123;0.665891719;0.251580946;0.0001;0;0.0001
2017-01-03 02:00:00+00:00;5.77E-05;0;0.000212148;0.00000238;0.000114155;0;0.064;0.111;0.633046117;0.250903743;0.0001;0;0.0001
2017-01-03 03:00:00+00:00;5.56E-05;0;0.000212148;0.0000083;0.000114155;0;0.06;0.093;0.612535236;0.25259675;0.0001;0;0.0001
2017-01-03 04:00:00+00:00;5.41E-05;0;0.000211724;0.0000249;0.000114155;0;0.065;0.071;0.619047969;0.252935353;0.0001;0;0.0001
2017-01-03 05:00:00+00:00;4.91E-05;0;0.0002113;0.0000693;0.000114155;0;0.08;0.058;0.677620277;0.25259675;0.0001;0;0.0001
2017-01-03 06:00:00+00:00;0.0000443;0;0.000210875;0.000143;0.000114155;0.049;0.048;0.014;0.667484661;0.249210734;0.0001;0.003;0.0001
2017-01-03 07:00:00+00:00;0.0000475;0;0.000210027;0.00019;0.000114155;0.167;0.115;0.008;0.700090616;0.253273953;0.0001;0.03;0.0001
2017-01-03 08:00:00+00:00;0.000052;0;0.000209178;0.000168;0.000114155;0.284;0.162;0.039;0.707702901;0.257337172;0.0001;0.075;0.0001
2017-01-03 09:00:00+00:00;0.000055;0;0.000207905;0.000165;0.000114155;0.401;0.18;0.109;0.706222735;0.252935353;0.0001;0.149;0.0001
2017-01-03 10:00:00+00:00;0.0000589;0;0.000206632;0.000179;0.000114155;0.476;0.208;0.156;0.707350481;0.259030179;0.0001;0.205;0.0001
2017-01-03 11:00:00+00:00;0.0000621;0;0.000205359;0.000196;0.000114155;0.529;0.256;0.182;0.645634581;0.299323763;0.0001;0.265;0.0001
2017-01-03 12:00:00+00:00;0.0000628;0;0.000203662;0.000195;0.000114155;0.561;0.332;0.233;0.65331735;0.341310354;0.0001;0.335;0.0001
2017-01-03 13:00:00+00:00;0.0000647;0;0.000201965;0.000185;0.000114155;0.561;0.398;0.305;0.711382173;0.336569933;0.0001;0.385;0.0001
2017-01-03 14:00:00+00:00;0.0000678;0;0.000200268;1.99E-04;0.000114155;0.51;0.441;0.382;0.724266671;0.340633152;0.0001;0.351;0.0001
2017-01-03 15:00:00+00:00;0.0000686;0;0.000198146;2.16E-04;0.000114155;0.337;0.46;0.42;0.666342817;0.582056051;0.0001;0.118;0.0001
2017-01-03 16:00:00+00:00;0.000067;0;0.000196449;2.24E-04;0.000114155;0.16;0.457;0.427;0.724182089;0.573929614;0.0001;0.019;0.0001
