Regions;Resources;avail_local;avail_exterior;R_year_local;R_year_exterior;R_year_import;R_year_export
C4;RES_GEO;1000000000000000.0;;;;;
C4;CO2_ATM;;1000000000000000.0;;;;
C4;CO2_INDUSTRY;;;;;;
C4;CO2_CAPTURED;;;;;;
C4;PT_HEAT;;;;;;
C4;ST_HEAT;;;;;;
C4;LPG;;1000000.0;;38.117261801272726;;
C4;LNG;;1.0;;;;
C4;CO2_EMISSIONS_CAPTURED;;1000000000000000.0;;;;
C4;CO2_EMISSIONS_ATM;;1000000000000000.0;;;;
C5;ELECTRICITY;;37.507315264685936;;37.50731526468593;3.1678130472278436;13.090504094668496
C5;GASOLINE;;1000000.0;;;;
C5;DIESEL;;1000000.0;;;;
C5;GASOLINE_RE;;;;;;
C5;DIESEL_RE;;;;;;
C5;LFO;;1.0;;;;
C5;LFO_RE;;;;;;
C5;JET_FUEL;;1.0;;;;
C5;JET_FUEL_RE;;;;;;
C5;GAS;;;;;;
C5;GAS_RE;;;;;;
C5;WOOD;0.295315;;;;;
C5;WET_BIOMASS;;;;;;
C5;ENERGY_CROPS_2;;;;;;
C5;BIOWASTE;;;;;;
C5;BIOMASS_RESIDUES;1.146905;;;;;
C5;COAL;;;;;;
C5;URANIUM;;;;;;
C5;WASTE;;;;;;
C5;H2;;;;;;
C5;H2_RE;;;;;;
C5;AMMONIA;;;;;;
C5;METHANOL;;;;;;
C5;AMMONIA_RE;;;;;;
C5;METHANOL_RE;;;;;;
C5;CO2_EMISSIONS;;1000000000000000.0;;;;
C5;RES_WIND;1000000000000000.0;;;;;
C5;RES_SOLAR;1000000000000000.0;;71.41574405864039;;;
C5;RES_HYDRO;1000000000000000.0;;;;;
C5;RES_GEO;1000000000000000.0;;;;;
C5;CO2_ATM;;1000000000000000.0;;;;
C5;CO2_INDUSTRY;;;;;;
C5;CO2_CAPTURED;;;;;;
C5;PT_HEAT;;;;;;
C5;ST_HEAT;;;;;;
C5;LPG;;1000000.0;;34.328863239151936;;
C5;LNG;;1.0;;;;
C5;CO2_EMISSIONS_CAPTURED;;1000000000000000.0;;;;
C5;CO2_EMISSIONS_ATM;;1000000000000000.0;;;;
