Regions;Technologies;F;f_min;f_max;Losses;Year_energy_flux;Storage_in_max;Storage_out_max
SA-PA;MOTORCYCLE_ELEC_PRIVATE_BATT;;;;;;;
SA-PA;BUS_ELEC_PUBLIC_BATT;;;;;;;
SA-SC;BATT_LI;;;1000000000000000.0;;;;
SA-SC;BATT_HS;;;;;;;
SA-SC;CAES;;;;;;;
SA-SC;BEV_BATT;;;;;;;
SA-SC;PHEV_BATT;;;;;;;
SA-SC;DAM_STORAGE;;;;;;;
SA-SC;PHS;;;;;;;
SA-SC;TS_DEC_DIRECT_ELEC;;;;;;;
SA-SC;TS_DEC_HP_ELEC;;;;;;;
SA-SC;TS_DEC_THHP_GAS;;;;;;;
SA-SC;TS_DEC_COGEN_GAS;;;;;;;
SA-SC;TS_DEC_COGEN_OIL;;;;;;;
SA-SC;TS_DEC_ADVCOGEN_GAS;;;;;;;
SA-SC;TS_DEC_ADVCOGEN_H2;;;;;;;
SA-SC;TS_DEC_BOILER_GAS;;;;;;;
SA-SC;TS_DEC_BOILER_WOOD;;;;;;;
SA-SC;TS_DEC_BOILER_OIL;;;;;;;
SA-SC;TS_DHN_DAILY;;;;;;;
SA-SC;TS_DHN_SEASONAL;;;;;;;
SA-SC;TS_HIGH_TEMP;;;;;;;
SA-SC;GAS_STORAGE;;;;;;;
SA-SC;H2_STORAGE;;;;;;;
SA-SC;DIESEL_STORAGE;21.71694172766869;21.71687;21.71688;;19.63902576026635;;
SA-SC;JET_FUEL_STORAGE;;;;;;;
SA-SC;GASOLINE_STORAGE;10.49975019512329;10.49971;10.49972342;;;;
SA-SC;LFO_STORAGE;;;;;;;
SA-SC;AMMONIA_STORAGE;;;;;;;
SA-SC;METHANOL_STORAGE;;;;;;;
SA-SC;PT_STORAGE;;;;;;;
SA-SC;ST_STORAGE;;;;;;;
SA-SC;TS_COLD;;;;;;;
SA-SC;CO2_STORAGE;;;;;;;
SA-SC;LPG_STORAGE;;;;;;;
SA-SC;LNG_STORAGE;18.61805384692222;18.61799;18.618;;5.935503777554372;1.2412035897948146;1.2412035897948146
SA-SC;SUV_ELEC_PRIVATE_BATT;;;;;;;
SA-SC;MOTORCYCLE_ELEC_PRIVATE_BATT;;;;;;;
SA-SC;BUS_ELEC_PUBLIC_BATT;;;;;;;
SA-TJ;BATT_LI;;;1000000000000000.0;;;;
SA-TJ;BATT_HS;;;;;;;
SA-TJ;CAES;;;;;;;
SA-TJ;BEV_BATT;;;;;;;
SA-TJ;PHEV_BATT;;;;;;;
SA-TJ;DAM_STORAGE;;;;;;;
SA-TJ;PHS;;;;;;;
SA-TJ;TS_DEC_DIRECT_ELEC;;;;;;;
SA-TJ;TS_DEC_HP_ELEC;;;;;;;
SA-TJ;TS_DEC_THHP_GAS;;;;;;;
SA-TJ;TS_DEC_COGEN_GAS;;;;;;;
SA-TJ;TS_DEC_COGEN_OIL;;;;;;;
SA-TJ;TS_DEC_ADVCOGEN_GAS;;;;;;;
SA-TJ;TS_DEC_ADVCOGEN_H2;;;;;;;
SA-TJ;TS_DEC_BOILER_GAS;;;;;;;
SA-TJ;TS_DEC_BOILER_WOOD;;;;;;;
SA-TJ;TS_DEC_BOILER_OIL;;;;;;;
SA-TJ;TS_DHN_DAILY;;;;;;;
SA-TJ;TS_DHN_SEASONAL;;;;;;;
SA-TJ;TS_HIGH_TEMP;;;;;;;
SA-TJ;GAS_STORAGE;;;;;;;
SA-TJ;H2_STORAGE;;;;;;;
SA-TJ;DIESEL_STORAGE;;;;;;;
SA-TJ;JET_FUEL_STORAGE;;;;;;;
SA-TJ;GASOLINE_STORAGE;;;;;;;
SA-TJ;LFO_STORAGE;;;;;;;
SA-TJ;AMMONIA_STORAGE;;;;;;;
SA-TJ;METHANOL_STORAGE;;;;;;;
SA-TJ;PT_STORAGE;;;;;;;
SA-TJ;ST_STORAGE;;;;;;;
SA-TJ;TS_COLD;;;;;;;
SA-TJ;CO2_STORAGE;;;;;;;
SA-TJ;LPG_STORAGE;;;;;;;
SA-TJ;LNG_STORAGE;;;;;;;
SA-TJ;SUV_ELEC_PRIVATE_BATT;;;;;;;
SA-TJ;MOTORCYCLE_ELEC_PRIVATE_BATT;;;;;;;
SA-TJ;BUS_ELEC_PUBLIC_BATT;;;;;;;
SIN;BATT_LI;;;1000000000000000.0;;;;
SIN;BATT_HS;;;;;;;
SIN;CAES;;;;;;;
SIN;BEV_BATT;;;1000000000000000.0;-2.4943010057385986;6.3377571513214965;;
SIN;PHEV_BATT;;;;;;;
SIN;DAM_STORAGE;567.5913625213035;567.589;567.59;-26.943900041174146;630.668322132702;;
SIN;PHS;;;;;;;
SIN;TS_DEC_DIRECT_ELEC;;;;;;;
SIN;TS_DEC_HP_ELEC;;;;;;;
SIN;TS_DEC_THHP_GAS;;;;;;;
SIN;TS_DEC_COGEN_GAS;;;;;;;
SIN;TS_DEC_COGEN_OIL;;;;;;;
SIN;TS_DEC_ADVCOGEN_GAS;;;;;;;
SIN;TS_DEC_ADVCOGEN_H2;;;;;;;
SIN;TS_DEC_BOILER_GAS;;;;;;;
SIN;TS_DEC_BOILER_WOOD;;;;;;;
SIN;TS_DEC_BOILER_OIL;;;;;;;
SIN;TS_DHN_DAILY;;;;;;;
SIN;TS_DHN_SEASONAL;;;;;;;
SIN;TS_HIGH_TEMP;;;;;;;
SIN;GAS_STORAGE;;;;;;;
SIN;H2_STORAGE;;;;;;;
SIN;DIESEL_STORAGE;1284.64;1284.64;1284.64;;2241.9654805192317;7.646666666666667;7.646666666666667
SIN;JET_FUEL_STORAGE;231.8930517103672;231.8913243;231.8923243;;327.1143526677959;1.3803157839902809;1.3803157839902809
SIN;GASOLINE_STORAGE;1244.25;1244.25;1244.25;;4290.547535279992;7.40625;7.40625
SIN;LFO_STORAGE;;;;;;;
SIN;AMMONIA_STORAGE;;;;;;;
SIN;METHANOL_STORAGE;;;;;;;
SIN;PT_STORAGE;;;;;;;
SIN;ST_STORAGE;;;;;;;
SIN;TS_COLD;;;;;;;
SIN;CO2_STORAGE;;;;;;;
SIN;LPG_STORAGE;956.0027086770231;955.9979906;955.9989906;;614.086638119372;5.690492313553709;5.690492313553709
SIN;LNG_STORAGE;27.0706869276892;27.07;27.071;;;1.8047124618459465;1.8047124618459465
SIN;SUV_ELEC_PRIVATE_BATT;;;;;;;
SIN;MOTORCYCLE_ELEC_PRIVATE_BATT;;;;;;;
SIN;BUS_ELEC_PUBLIC_BATT;;;;;;;
