From;To;Resources;Exchanges_year;Transfer_capacity;Utilization_factor
SA-BN;SIN;CO2_CAPTURED;;;
SA-BN;SIN;LPG;0.013059631447003051;;inf
SA-BN;SIN;LNG;0.015588185223285974;;
SA-PA;SA-BN;ELECTRICITY;;;
SA-PA;SA-BN;GASOLINE;;;
SA-PA;SA-BN;DIESEL;;;
SA-PA;SA-BN;LFO;;;
SA-PA;SA-BN;JET_FUEL;;;
SA-PA;SA-BN;GAS;;;
SA-PA;SA-BN;WOOD;;;
SA-PA;SA-BN;H2;;;
SA-PA;SA-BN;AMMONIA;;;
SA-PA;SA-BN;METHANOL;;;
SA-PA;SA-BN;CO2_CAPTURED;;;
SA-PA;SA-BN;LPG;;;
SA-PA;SA-BN;LNG;;;
SA-PA;SA-PA;ELECTRICITY;;;
SA-PA;SA-PA;GASOLINE;;;
SA-PA;SA-PA;DIESEL;;;
SA-PA;SA-PA;LFO;;;
SA-PA;SA-PA;JET_FUEL;;;
SA-PA;SA-PA;GAS;;;
SA-PA;SA-PA;WOOD;;;
SA-PA;SA-PA;H2;;;
SA-PA;SA-PA;AMMONIA;;;
SA-PA;SA-PA;METHANOL;;;
SA-PA;SA-PA;CO2_CAPTURED;;;
SA-PA;SA-PA;LPG;;;
SA-PA;SA-PA;LNG;;;
SA-PA;SA-SC;ELECTRICITY;;;
SA-PA;SA-SC;GASOLINE;;;
SA-PA;SA-SC;DIESEL;;;
SA-PA;SA-SC;LFO;;;
SA-PA;SA-SC;JET_FUEL;;;
SA-PA;SA-SC;GAS;;;
SA-PA;SA-SC;WOOD;;;
SA-PA;SA-SC;H2;;;
SA-PA;SA-SC;AMMONIA;;;
SA-PA;SA-SC;METHANOL;;;
SA-PA;SA-SC;CO2_CAPTURED;;;
SA-PA;SA-SC;LPG;;;
SA-PA;SA-SC;LNG;;;
SA-PA;SA-TJ;ELECTRICITY;;;
SA-PA;SA-TJ;GASOLINE;;;
SA-PA;SA-TJ;DIESEL;;;
SA-PA;SA-TJ;LFO;;;
SA-PA;SA-TJ;JET_FUEL;;;
SA-PA;SA-TJ;GAS;;;
SA-PA;SA-TJ;WOOD;;;
SA-PA;SA-TJ;H2;;;
SA-PA;SA-TJ;AMMONIA;;;
SA-PA;SA-TJ;METHANOL;;;
SA-PA;SA-TJ;CO2_CAPTURED;;;
SA-PA;SA-TJ;LPG;;;
SA-PA;SA-TJ;LNG;;;
SA-PA;SIN;ELECTRICITY;;;
SA-PA;SIN;GASOLINE;0.007270554245310291;;inf
SA-PA;SIN;DIESEL;;;
SA-PA;SIN;LFO;;;
SA-PA;SIN;JET_FUEL;;;
SA-PA;SIN;GAS;;;
SA-PA;SIN;WOOD;0.01823399909613349;;
SA-PA;SIN;H2;;;
SA-PA;SIN;AMMONIA;;;
SA-PA;SIN;METHANOL;;;
SA-PA;SIN;CO2_CAPTURED;;;
SA-PA;SIN;LPG;;;
SA-PA;SIN;LNG;;;
SA-SC;SA-BN;ELECTRICITY;;;
SA-SC;SA-BN;GASOLINE;;;
SA-SC;SA-BN;DIESEL;;;
SA-SC;SA-BN;LFO;;;
SA-SC;SA-BN;JET_FUEL;;;
SA-SC;SA-BN;GAS;;;
SA-SC;SA-BN;WOOD;;;
SA-SC;SA-BN;H2;;;
SA-SC;SA-BN;AMMONIA;;;
SA-SC;SA-BN;METHANOL;;;
SA-SC;SA-BN;CO2_CAPTURED;;;
SA-SC;SA-BN;LPG;;;
SA-SC;SA-BN;LNG;;;
SA-SC;SA-PA;ELECTRICITY;;;
SA-SC;SA-PA;GASOLINE;;;
SA-SC;SA-PA;DIESEL;;;
SA-SC;SA-PA;LFO;;;
SA-SC;SA-PA;JET_FUEL;;;
SA-SC;SA-PA;GAS;;;
SA-SC;SA-PA;WOOD;;;
SA-SC;SA-PA;H2;;;
SA-SC;SA-PA;AMMONIA;;;
SA-SC;SA-PA;METHANOL;;;
SA-SC;SA-PA;CO2_CAPTURED;;;
SA-SC;SA-PA;LPG;;;
