Regions;Elements;C_inv;C_maint;C_op
SA-BN;CAR_GASOLINE_PUBLIC;;;
SA-BN;BUS_GASOLINE_PUBLIC;;;
SA-BN;PICKUP_TRUCK_GASOLINE_PUBLIC;;;
SA-BN;SUV_GASOLINE_PUBLIC;;;
SA-BN;MOTORCYCLE_GASOLINE_PUBLIC;;;
SA-BN;CAR_DIESEL_PRIVATE;;;
SA-BN;BUS_DIESEL_PRIVATE;;;
SA-BN;PICKUP_TRUCK_DIESEL_PRIVATE;;;
SA-BN;SUV_DIESEL_PRIVATE;;;
SA-BN;MOTORCYCLE_DIESEL_PRIVATE;;;
SA-BN;CAR_DIESEL_PUBLIC;;;
SA-BN;BUS_DIESEL_PUBLIC;;;
SA-BN;PICKUP_TRUCK_DIESEL_PUBLIC;;;
SA-BN;SUV_DIESEL_PUBLIC;;;
SA-BN;MOTORCYCLE_DIESEL_PUBLIC;;;
SA-BN;TRUCK_FG;;;
SA-BN;VAN_FG;;;
SA-BN;CARGO_MOTORCYCLE_FG;;;
SA-BN;TRUCK_GASOLINE;;;
SA-BN;VAN_GASOLINE;;;
SA-BN;CARGO_MOTORCYCLE_GASOLINE;;;
SA-BN;TRUCK_DIESEL_P;;;
SA-BN;VAN_DIESEL;;;
SA-BN;CARGO_MOTORCYCLE_DIESEL;;;
SA-BN;CONVENTIONAL_BULB;;;
SA-BN;LED_BULB;;;
SA-BN;CONVENTIONAL_LIGHT;;0.01206749044207978;
SA-BN;LED_LIGHT;;;
SA-BN;REFRIGERATOR_EL;;;
SA-BN;COMM_MACHINERY_DIESEL;;;
SA-BN;COMM_MACHINERY_EL;;;
SA-BN;IND_MACHINERY_EL;;;
SA-BN;TRACTOR_DIESEL;;;
SA-BN;AGR_MACHINERY_DIESEL;;;
SA-BN;AGR_MACHINERY_EL;;;
SA-BN;MIN_MACHINERY_DIESEL;;;
SA-BN;MIN_MACHINERY_EL;;;
SA-BN;FISH_MACHINERY_DIESEL;;;
SA-BN;FISH_MACHINERY_EL;;;
SA-BN;TRACTOR_EL;;;
SA-BN;BUS_ELEC_PUBLIC;;;
SA-BN;BUS_ELEC_PRIVATE;;;
SA-BN;PICKUP_TRUCK_ELEC_PUBLIC;;;
SA-BN;PICKUP_TRUCK_ELEC_PRIVATE;;;
SA-BN;SUV_ELEC_PUBLIC;;;
SA-BN;SUV_ELEC_PRIVATE;;;
SA-BN;MOTORCYCLE_ELEC_PUBLIC;;;
SA-BN;MOTORCYCLE_ELEC_PRIVATE;;;
SA-BN;VAN_ELEC;;;
SA-BN;CARGO_MOTORCYCLE_ELEC;;;
SA-BN;TRAIN_FREIGHT_ELEC;;;
SA-BN;BOAT_FREIGHT_ELEC;;;
SA-BN;FUEL_CELL;;;
SA-BN;ETHANOL_TO_FUELS;;;
SA-BN;BIO_HYDROLYSIS;;;
SA-BN;PYROLYSIS_TO_FUELS;;;
SA-BN;PYROLYSIS_TO_LFO;;;
SA-BN;FB_ST_BIOMASS;;;
SA-BN;CFB_ST_BIOMASS;;;
SA-BN;BFB_ST_BIOMASS;;;
SA-BN;REGASIFICATION;0.01150078568169861;;
SA-BN;LIQUEFACTION;;;
SA-BN;DIESEL_PIPELINE;;;
SA-BN;GASOLINE_PIPELINE;;;
SA-BN;LPG_PIPELINE;;;
SA-BN;LFO_PIPELINE;;;
SA-BN;JET_FUEL_PIPELINE;;;
SA-BN;SUV_ELEC_PRIVATE_BATT;;;
SA-BN;MOTORCYCLE_ELEC_PRIVATE_BATT;;;
SA-BN;BUS_ELEC_PUBLIC_BATT;;;
SA-BN;ELECTRICITY;;;
SA-BN;GASOLINE;;;
SA-BN;DIESEL;;;0.1114298368587365
SA-BN;GASOLINE_RE;;;
SA-BN;DIESEL_RE;;;
SA-BN;LFO;;;
SA-BN;LFO_RE;;;
SA-BN;JET_FUEL;;;
SA-BN;JET_FUEL_RE;;;
SA-BN;GAS;;;
SA-BN;GAS_RE;;;
SA-BN;WOOD;;;0.2801583663814134
SA-BN;WET_BIOMASS;;;
SA-BN;ENERGY_CROPS_2;;;
SA-BN;BIOWASTE;;;
SA-BN;BIOMASS_RESIDUES;;;
SA-BN;COAL;;;
SA-BN;URANIUM;;;
SA-BN;WASTE;;;
SA-BN;H2;;;
SA-BN;H2_RE;;;
SA-BN;AMMONIA;;;
SA-BN;METHANOL;;;
SA-BN;AMMONIA_RE;;;
SA-BN;METHANOL_RE;;;
SA-BN;CO2_EMISSIONS;;;
SA-BN;RES_WIND;;;
SA-BN;RES_SOLAR;;;
SA-BN;RES_HYDRO;;;
SA-BN;RES_GEO;;;
SA-BN;CO2_ATM;;;
SA-BN;CO2_INDUSTRY;;;
SA-BN;CO2_CAPTURED;;;
SA-BN;PT_HEAT;;;
SA-BN;ST_HEAT;;;
SA-BN;LPG;;;
SA-BN;LNG;;;
SA-BN;CO2_EMISSIONS_CAPTURED;;;
SA-BN;CO2_EMISSIONS_ATM;;;
SA-PA;NUCLEAR;;;
SA-PA;NUCLEAR_SMR;;;
SA-PA;CCGT_AMMONIA;;;
SA-PA;COAL_US;;;
SA-PA;COAL_IGCC;;;
SA-PA;BIOMASS_TO_POWER;;;
SA-PA;PV_ROOFTOP;;;
SA-PA;PV_UTILITY;0.22717569448958572;0.1350521177378724;
SA-PA;PV_HS;;;
SA-PA;PT_COLLECTOR;;;
SA-PA;ST_COLLECTOR;;;
SA-PA;PT_POWER_BLOCK;;;
SA-PA;ST_POWER_BLOCK;;;
SA-PA;WIND_ONSHORE;;;
SA-PA;WIND_OFFSHORE;;;
SA-PA;HYDRO_DAM;;;
SA-PA;HYDRO_RIVER;;;
SA-PA;TIDAL_STREAM;;;
SA-PA;TIDAL_RANGE;;;
SA-PA;WAVE;;;
SA-PA;GEOTHERMAL;;;
SA-PA;GENSET_DIESEL;0.9391554767925364;0.3383191826072863;
SA-PA;HS_DIESEL;;;
SA-PA;OCGT;;;
SA-PA;CCGT;;;
SA-PA;ST_BIOMASS;;;
SA-PA;ST_SNG;0.04089400706921274;0.01473155774;
SA-PA;CCGT_SUR;;;
SA-PA;IND_COGEN_GAS;;;
SA-PA;IND_COGEN_WOOD;;;
SA-PA;IND_COGEN_WASTE;;;
SA-PA;IND_BOILER_GAS;;;
SA-PA;IND_BOILER_WOOD;0.029149134539554738;;
SA-PA;IND_BOILER_BIOWASTE;;;
SA-PA;IND_BOILER_OIL;;;
SA-PA;IND_BOILER_COAL;;;
SA-PA;IND_BOILER_WASTE;;;
SA-PA;IND_DIRECT_ELEC;;;
SA-PA;DHN_HP_ELEC;;;
SA-PA;DHN_COGEN_GAS;;;
SA-PA;DHN_COGEN_WOOD;;;
SA-PA;DHN_COGEN_WASTE;;;
SA-PA;DHN_BOILER_GAS;;;
SA-PA;DHN_BOILER_WOOD;;;
SA-PA;DHN_BOILER_OIL;;;
SA-PA;DHN_DEEP_GEO;;;
SA-PA;DHN_SOLAR;;;
SA-PA;DEC_HP_ELEC;;;
SA-PA;DEC_THHP_GAS;;;
SA-PA;DEC_COGEN_GAS;;;
SA-PA;DEC_COGEN_OIL;;;
SA-PA;DEC_ADVCOGEN_GAS;;;
SA-PA;DEC_ADVCOGEN_H2;;;
SA-PA;DEC_BOILER_GAS;;;
SA-PA;DEC_BOILER_WOOD;;;
SA-PA;DEC_BOILER_OIL;;;
SA-PA;DEC_SOLAR;;;
SA-PA;DEC_DIRECT_ELEC;;;
SA-PA;DEC_ELEC_COLD;0.2671989829336556;0.1916927967785034;
SA-PA;DEC_ELEC_COLD_FAN;;;
SA-PA;DEC_THHP_GAS_COLD;;;
SA-PA;IND_ELEC_COLD;;;
SA-PA;TRAMWAY_TROLLEY;;;
SA-PA;BUS_COACH_DIESEL;;;
SA-PA;BUS_COACH_HYDIESEL;;;
SA-PA;BUS_COACH_CNG_STOICH;;;
SA-PA;BUS_COACH_FC_HYBRIDH2;;;
SA-PA;TRAIN_PUB;;;
SA-PA;PLANE_SHORT_HAUL;;;
SA-PA;PLANE_H2_SHORT_HAUL;;;
SA-PA;PLANE_LONG_HAUL;;;
SA-PA;CAR_GASOLINE;;;
SA-PA;CAR_DIESEL;;;
SA-PA;CAR_NG;;;
SA-PA;CAR_METHANOL;;;
SA-PA;CAR_HEV;;;
SA-PA;CAR_PHEV;;;
SA-PA;CAR_BEV;;;
SA-PA;CAR_FUEL_CELL;;;
SA-PA;TRAIN_FREIGHT;;;
SA-PA;BOAT_FREIGHT_DIESEL;;;
SA-PA;BOAT_FREIGHT_NG;;;
