Regions;Resources;avail_local;avail_exterior;R_year_local;R_year_exterior;R_year_import;R_year_export
SA-TJ;WOOD;175.0189406;;126.93455347900417;;0.010838156591444483;
SA-TJ;WET_BIOMASS;;;;;;
SA-TJ;ENERGY_CROPS_2;;;;;;
SA-TJ;BIOWASTE;;;;;;
SA-TJ;BIOMASS_RESIDUES;175.0189406;;;;;
SA-TJ;COAL;;;;;;
SA-TJ;URANIUM;;;;;;
SA-TJ;WASTE;;;;;;
SA-TJ;H2;;;;;;
SA-TJ;H2_RE;;;;;;
SA-TJ;AMMONIA;;;;;;
SA-TJ;METHANOL;;;;;;
SA-TJ;AMMONIA_RE;;;;;;
SA-TJ;METHANOL_RE;;;;;;
SA-TJ;CO2_EMISSIONS;;1000000000000000.0;;12.260443952601102;;
SA-TJ;RES_WIND;1000000000000000.0;;;;;
SA-TJ;RES_SOLAR;1000000000000000.0;;;;;
SA-TJ;RES_HYDRO;1000000000000000.0;;;;;
SA-TJ;RES_GEO;1000000000000000.0;;;;;
SA-TJ;CO2_ATM;;1000000000000000.0;;;;
SA-TJ;CO2_INDUSTRY;;;;;;
SA-TJ;CO2_CAPTURED;;;;;;
SA-TJ;PT_HEAT;;;;;;
SA-TJ;ST_HEAT;;;;;;
SA-TJ;LPG;;1.5;;1.4960309216561547;8.528362288528344;
SA-TJ;LNG;;;;;;
SA-TJ;CO2_EMISSIONS_CAPTURED;;1000000000000000.0;;;;
SA-TJ;CO2_EMISSIONS_ATM;;1000000000000000.0;;;;
SIN;ELECTRICITY;;100.0;;;;
SIN;GASOLINE;1000000000000000.0;;18122.775265751152;;;
SIN;DIESEL;1000000000000000.0;;21516.338901473224;;;498.4709432248408
SIN;GASOLINE_RE;;;;;;
SIN;DIESEL_RE;;;;;;
SIN;LFO;1000000000000000.0;;264.4038830420813;;;1.0272643410634799
SIN;LFO_RE;;;;;;
SIN;JET_FUEL;1000000000000000.0;;991.0895411753094;;;
SIN;JET_FUEL_RE;;;;;;
SIN;GAS;35935.8852;;34308.7572151981;;;712.1924776292203
SIN;GAS_RE;;;;;;
SIN;WOOD;11247.22222;;6450.442350964952;;0.04525762466283435;0.010838156591444461
SIN;WET_BIOMASS;;;;;;
SIN;ENERGY_CROPS_2;;;;;;
SIN;BIOWASTE;;;;;;
SIN;BIOMASS_RESIDUES;35824.71521;;1533.2690157403474;;;
SIN;COAL;;;;;;
SIN;URANIUM;;;;;;
SIN;WASTE;1000000000000000.0;;;;;
SIN;H2;;;;;;
