Resources;Network_type;Transfer_capacity
DIESEL;DIESEL_PIPELINE;0.0
ELECTRICITY;HVAC_LINE;0.008285677735705464
ELECTRICITY;HVDC_SUBSEA;0.0
GAS;GAS_PIPELINE;0.0
GAS;GAS_SUBSEA;0.0
GASOLINE;GASOLINE_PIPELINE;0.0
H2;H2_NEW;0.0
H2;H2_RETROFITTED;0.0
H2;H2_SUBSEA_NEW;0.0
H2;H2_SUBSEA_RETRO;0.0
JET_FUEL;JET_FUEL_PIPELINE;0.0
LFO;LFO_PIPELINE;0.0
LPG;LPG_PIPELINE;0.0
