Regions;Resources;Typical_days;Hours;R_t_local
C1;AMMONIA;8;9;0.0
C1;AMMONIA;8;10;0.0
C1;AMMONIA;8;11;0.0
C1;AMMONIA;8;12;0.0
C1;AMMONIA;8;13;0.0
C1;AMMONIA;8;14;0.0
C1;AMMONIA;8;15;0.0
C1;AMMONIA;8;16;0.0
C1;AMMONIA;8;17;0.0
C1;AMMONIA;8;18;0.0
C1;AMMONIA;8;19;0.0
C1;AMMONIA;8;20;0.0
C1;AMMONIA;8;21;0.0
C1;AMMONIA;8;22;0.0
C1;AMMONIA;8;23;0.0
C1;AMMONIA;8;24;0.0
C1;AMMONIA;9;1;0.0
C1;AMMONIA;9;2;0.0
C1;AMMONIA;9;3;0.0
C1;AMMONIA;9;4;0.0
C1;AMMONIA;9;5;0.0
C1;AMMONIA;9;6;0.0
C1;AMMONIA;9;7;0.0
C1;AMMONIA;9;8;0.0
C1;AMMONIA;9;9;0.0
C1;AMMONIA;9;10;0.0
C1;AMMONIA;9;11;0.0
C1;AMMONIA;9;12;0.0
C1;AMMONIA;9;13;0.0
C1;AMMONIA;9;14;0.0
C1;AMMONIA;9;15;0.0
C1;AMMONIA;9;16;0.0
C1;AMMONIA;9;17;0.0
C1;AMMONIA;9;18;0.0
C1;AMMONIA;9;19;0.0
C1;AMMONIA;9;20;0.0
C1;AMMONIA;9;21;0.0
C1;AMMONIA;9;22;0.0
C1;AMMONIA;9;23;0.0
C1;AMMONIA;9;24;0.0
C1;AMMONIA;10;1;0.0
C1;AMMONIA;10;2;0.0
C1;AMMONIA;10;3;0.0
C1;AMMONIA;10;4;0.0
C1;AMMONIA;10;5;0.0
C1;AMMONIA;10;6;0.0
C1;AMMONIA;10;7;0.0
C1;AMMONIA;10;8;0.0
C1;AMMONIA;10;9;0.0
C1;AMMONIA;10;10;0.0
C1;AMMONIA;10;11;0.0
C1;AMMONIA;10;12;0.0
C1;AMMONIA;10;13;0.0
C1;AMMONIA;10;14;0.0
C1;AMMONIA;10;15;0.0
C1;AMMONIA;10;16;0.0
C1;AMMONIA;10;17;0.0
C1;AMMONIA;10;18;0.0
C1;AMMONIA;10;19;0.0
C1;AMMONIA;10;20;0.0
C1;AMMONIA;10;21;0.0
C1;AMMONIA;10;22;0.0
C1;AMMONIA;10;23;0.0
C1;AMMONIA;10;24;0.0
C1;AMMONIA;11;1;0.0
C1;AMMONIA;11;2;0.0
C1;AMMONIA;11;3;0.0
C1;AMMONIA;11;4;0.0
C1;AMMONIA;11;5;0.0
C1;AMMONIA;11;6;0.0
C1;AMMONIA;11;7;0.0
C1;AMMONIA;11;8;0.0
C1;AMMONIA;11;9;0.0
C1;AMMONIA;11;10;0.0
C1;AMMONIA;11;11;0.0
C1;AMMONIA;11;12;0.0
C1;AMMONIA;11;13;0.0
C1;AMMONIA;11;14;0.0
C1;AMMONIA;11;15;0.0
C1;AMMONIA;11;16;0.0
C1;AMMONIA;11;17;0.0
C1;AMMONIA;11;18;0.0
C1;AMMONIA;11;19;0.0
C1;AMMONIA;11;20;0.0
C1;AMMONIA;11;21;0.0
C1;AMMONIA;11;22;0.0
C1;AMMONIA;11;23;0.0
C1;AMMONIA;11;24;0.0
C1;AMMONIA;12;1;0.0
C1;AMMONIA;12;2;0.0
C1;AMMONIA;12;3;0.0
C1;AMMONIA;12;4;0.0
C1;AMMONIA;12;5;0.0
C1;AMMONIA;12;6;0.0
C1;AMMONIA;12;7;0.0
C1;AMMONIA;12;8;0.0
C1;AMMONIA;12;9;0.0
C1;AMMONIA;12;10;0.0
C1;AMMONIA;12;11;0.0
C1;AMMONIA;12;12;0.0
C1;AMMONIA;12;13;0.0
C1;AMMONIA;12;14;0.0
C1;AMMONIA;12;15;0.0
C1;AMMONIA;12;16;0.0
C1;AMMONIA;12;17;0.0
C1;AMMONIA;12;18;0.0
C1;AMMONIA;12;19;0.0
C1;AMMONIA;12;20;0.0
C1;AMMONIA;12;21;0.0
C1;AMMONIA;12;22;0.0
C1;AMMONIA;12;23;0.0
C1;AMMONIA;12;24;0.0
C1;AMMONIA;13;1;0.0
C1;AMMONIA;13;2;0.0
