param : 	c_inv	c_maint	gwp_constr	lifetime	c_p	fmin_perc	fmax_perc	f_min	f_max := 
C1	IND_ELEC_COLD	649.14	5.27	174.79	20	0.95	0.0	1.0	0.0	Infinity
C1	TRAMWAY_TROLLEY	625.0	12.5	0.0	30	0.342465753	0.0	1.0	0.0	0.0
C1	BUS_COACH_DIESEL	0.0	0.0	0.0	15	0.483722222	0.0	1.0	0.0	0.0
C1	BUS_COACH_HYDIESEL	823.29	33.33333333	0.0	15	0.483722222	0.0	1.0	0.0	0.0
C1	BUS_COACH_CNG_STOICH	0.0	0.0	0.0	15	0.483722222	0.0	1.0	0.0	0.0
C1	BUS_COACH_FC_HYBRIDH2	1081.47	31.25	0.0	15	0.483722222	0.0	1.0	0.0	0.0
C1	TRAIN_PUB	1506.02	54.35274934	0.0	40	0.275072894	0.0	1.0	0.0	0.0
C1	PLANE_SHORT_HAUL	1456.05	39.82	0.0	35	0.4999	0.0	1.0	0.0	0.0
C1	PLANE_H2_SHORT_HAUL	1639.69	44.84	0.0	35	0.4999	0.0	1.0	0.0	0.0
C1	PLANE_LONG_HAUL	1343.77	36.75	0.0	35	0.5374	0.0	1.0	0.0	0.0
C1	CAR_GASOLINE	0.0	0.0	0.0	10	0.1343125	0.0	1.0	0.0	0.0
C1	CAR_DIESEL	0.0	0.0	0.0	10	0.1343125	0.0	1.0	0.0	0.0
C1	CAR_NG	0.0	0.0	0.0	10	0.1343125	0.0	1.0	0.0	0.0
C1	CAR_METHANOL	0.0	0.0	0.0	10	0.1343125	0.0	1.0	0.0	0.0
C1	CAR_HEV	424.24	34.0	0.0	10	0.1343125	0.0	1.0	0.0	0.0
C1	CAR_PHEV	464.97	34.0	0.0	10	0.1343125	0.0	1.0	0.0	0.0
C1	CAR_BEV	328.1935072	6.563870143	0.0	10	0.1343125	0.0	1.0	0.0	0.0
C1	CAR_FUEL_CELL	1272.0333	14.124	0.0	10	0.1343125	0.0	1.0	0.0	0.0
C1	TRAIN_FREIGHT	104.42	2.088311688	0.0	40	0.342465753	0.0	1.0	0.0	0.0
C1	BOAT_FREIGHT_DIESEL	73.84	3.819444444	0.0	40	0.114155251	0.0	1.0	0.0	0.0
C1	BOAT_FREIGHT_NG	74.49	3.819444444	0.0	40	0.114155251	0.0	1.0	0.0	0.0
C1	BOAT_FREIGHT_METHANOL	0.0	0.0	0.0	40	0.114155251	0.0	1.0	0.0	0.0
C1	CARGO_LFO	0.0	0.0	0.0	40	0.739666854	0.0	1.0	0.0	0.0
C1	CARGO_LNG	0.0	0.0	0.0	40	0.739666854	0.0	1.0	0.0	0.0
C1	CARGO_METHANOL	0.0	0.0	0.0	40	0.739666854	0.0	1.0	0.0	0.0
C1	CARGO_AMMONIA	0.0	0.0	0.0	40	0.739666854	0.0	1.0	0.0	0.0
C1	CARGO_FUELCELL_LH2	0.0	0.0	0.0	40	0.739666854	0.0	1.0	0.0	0.0
C1	CARGO_FUELCELL_AMMONIA	0.0	0.0	0.0	40	0.739666854	0.0	1.0	0.0	0.0
C1	CARGO_RETRO_METHANOL	0.0	0.0	0.0	40	0.739666854	0.0	1.0	0.0	0.0
C1	CARGO_RETRO_AMMONIA	0.0	0.0	0.0	40	0.739666854	0.0	1.0	0.0	0.0
C1	TRUCK_DIESEL	0.0	0.0	0.0	15	0.01805556	0.0	1.0	0.0	0.0
C1	TRUCK_METHANOL	0.0	0.0	0.0	15	0.01805556	0.0	1.0	0.0	0.0
C1	TRUCK_FUEL_CELL	417.59	12.06666667	0.0	15	0.01805556	0.0	1.0	0.0	0.0
C1	TRUCK_ELEC	835.89	23.13333333	0.0	15	0.01805556	0.0	1.0	0.0	0.0
C1	TRUCK_NG	361.9	18.55555556	0.0	15	0.01805556	0.0	1.0	0.0	0.0
C1	EFFICIENCY	0.0	0.0	0.0	1	1.0	0.0	1.0	0.0	Infinity
C1	DHN	825.88	0.0	0.0	60	1.0	0.0	1.0	0.0	0.0
C1	GRID	0.0	0.0	0.0	80	1.0	0.0	1.0	0.0	Infinity
C1	HVAC_LINE	2.0	0.04	0.0	40	1.0	0.0	1.0	0.0	Infinity
C1	HVDC_SUBSEA	3.24	0.06	0.0	40	1.0	0.0	1.0	0.0	0.0
C1	GAS_PIPELINE	0.134	0.001	0.0	55	1.0	0.0	1.0	0.0	0.0
C1	GAS_SUBSEA	0.208	0.002	0.0	55	1.0	0.0	1.0	0.0	0.0
C1	H2_RETROFITTED	0.355973417	0.005	0.0	40	1.0	0.0	1.0	0.0	0.0
C1	H2_NEW	0.452	0.005	0.0	40	1.0	0.0	1.0	0.0	0.0
C1	H2_SUBSEA_RETRO	0.533066683	0.007	0.0	40	1.0	0.0	1.0	0.0	0.0
C1	H2_SUBSEA_NEW	0.726	0.007	0.0	40	1.0	0.0	1.0	0.0	0.0
C1	H2_ELECTROLYSIS	1772.15	48.73417722	0.0	15	0.8946	0.0	1.0	0.0	0.0
C1	H2_NG	736.79	67.9913424	0.0	25	0.85484	0.0	1.0	0.0	0.0
C1	H2_BIOMASS	3788.08	266.8661519	0.0	25	0.85484	0.0	1.0	0.0	0.0
C1	BIOMASS_TO_METHANE	2969.836	179.3138803	0.0	25	0.85	0.0	1.0	0.0	0.0
C1	BIOWASTE_TO_METHANE	2969.836	179.3138803	0.0	25	0.85	0.0	1.0	0.0	0.0
C1	SYN_METHANATION	320.78	81.96184211	0.0	40	1.0	0.0	1.0	0.0	0.0
C1	BIOMETHANATION_WET_BIOMASS	1066.44	14.77272727	0.0	20	0.8449	0.0	1.0	0.0	0.0
C1	BIOMETHANATION_BIOWASTE	1066.44	14.77272727	0.0	20	0.8449	0.0	1.0	0.0	0.0
C1	BIOMASS_TO_JET_FUEL	5900.613267	166.9735	0.0	25	0.91	0.0	1.0	0.0	0.0
C1	BIOMASS_TO_LFO	6046.9153	166.9735	0.0	25	0.91	0.0	1.0	0.0	0.0
C1	BIOWASTE_TO_JET_FUEL	5900.613267	242.6681533	0.0	25	0.91	0.0	1.0	0.0	0.0
C1	BIOWASTE_TO_LFO	6046.9153	250.46025	0.0	25	0.91	0.0	1.0	0.0	0.0
C1	DIESEL_TO_JET_FUEL	0.0	0.0	0.0	25	1.0	0.0	1.0	0.0	0.0
C1	ATM_CCS	5281.82	131.112	0.0	40	1.0	0.0	1.0	0.0	0.0
C1	INDUSTRY_CCS	2640.91	65.556	0.0	40	1.0	0.0	1.0	0.0	0.0
C1	SYN_METHANOLATION	0.0	0.0	0.0	20	0.9443	0.0	1.0	0.0	0.0
C1	METHANE_TO_METHANOL	0.0	0.0	0.0	25	0.8449	0.0	1.0	0.0	0.0
C1	BIOMASS_TO_METHANOL	0.0	0.0	0.0	20	0.994	0.0	1.0	0.0	0.0
C1	BIOWASTE_TO_METHANOL	0.0	94.248	0.0	20	1.0	0.0	1.0	0.0	0.0
C1	HABER_BOSCH	0.0	0.0	0.0	20	0.994	0.0	1.0	0.0	0.0
C1	POWER_TO_JET_FUEL	3532.743904	253.0536276	0.0	25	0.91	0.0	1.0	0.0	0.0
C1	POWER_TO_LFO	3804.508764	288.1851693	0.0	25	0.91	0.0	1.0	0.0	0.0
C1	H2_TO_JET_FUEL	2241.910636	137.0330166	0.0	25	0.91	0.0	1.0	0.0	0.0
C1	H2_TO_LFO	2445.720694	149.5353034	0.0	25	0.91	0.0	1.0	0.0	0.0
C1	AMMONIA_TO_H2	0.0	0.0	0.0	25	0.994	0.0	1.0	0.0	0.0
C1	OIL_TO_HVC	427.2	2.271214642	0.0	15	0.994	0.0	1.0	0.0	Infinity
C1	GAS_TO_HVC	862.63	21.5657004	0.0	25	0.994	0.0	1.0	0.0	0.0
C1	BIOMASS_TO_HVC	2614.5	78.0	0.0	20	0.994	0.0	1.0	0.0	0.0
C1	METHANOL_TO_HVC	0.0	0.0	0.0	20	1.0	0.0	1.0	0.0	0.0
C1	BATT_LI	425.88	0.658412583	61.3	15	1.0	0.0	1.0	0.0	Infinity
C1	BATT_HS	594.0	10.0	61.3	10	1.0	0.0	1.0	0.0	Infinity
C1	CAES	38.938	3.1799	0.0	50	1.0	0.0	1.0	0.0	0.0
C1	BEV_BATT	0.0	0.0	0.0	1	1.0	0.0	1.0	0.0	0.0
C1	PHEV_BATT	0.0	0.0	0.0	1	1.0	0.0	1.0	0.0	0.0
C1	DAM_STORAGE	0.0	0.0	0.0	100	1.0	0.0	1.0	0.0	0.0
C1	PHS	58.8	0.0	8.33	50	1.0	0.0	1.0	0.0	0.0
C1	TS_DEC_DIRECT_ELEC	19.0	0.13	0.0	25	1.0	0.0	1.0	0.0	Infinity
C1	TS_DEC_HP_ELEC	19.0	0.13	0.0	25	1.0	0.0	1.0	0.0	0.0
C1	TS_DEC_THHP_GAS	0.0	0.0	0.0	20	1.0	0.0	1.0	0.0	0.0
C1	TS_DEC_COGEN_GAS	0.0	0.0	0.0	20	1.0	0.0	1.0	0.0	0.0
C1	TS_DEC_COGEN_OIL	0.0	0.0	0.0	20	1.0	0.0	1.0	0.0	0.0
C1	TS_DEC_ADVCOGEN_GAS	0.0	0.0	0.0	20	1.0	0.0	1.0	0.0	0.0
C1	TS_DEC_ADVCOGEN_H2	0.0	0.0	0.0	20	1.0	0.0	1.0	0.0	0.0
C1	TS_DEC_BOILER_GAS	19.0	0.13	0.0	25	1.0	0.0	1.0	0.0	Infinity
C1	TS_DEC_BOILER_WOOD	0.0	0.0	0.0	20	1.0	0.0	1.0	0.0	0.0
C1	TS_DEC_BOILER_OIL	0.0	0.0	0.0	20	1.0	0.0	1.0	0.0	0.0
C1	TS_DHN_DAILY	0.0	0.0	0.0	40	1.0	0.0	1.0	0.0	0.0
C1	TS_DHN_SEASONAL	0.0	0.0	0.0	25	1.0	0.0	1.0	0.0	0.0
C1	TS_HIGH_TEMP	0.0	0.0	0.0	25	1.0	0.0	1.0	0.0	0.0
C1	GAS_STORAGE	0.0	0.0	0.0	50	1.0	0.0	1.0	0.0	0.0
C1	H2_STORAGE	6.19	0.39	0.0	20	1.0	0.0	1.0	0.0	0.0
