Regions;Technologies;F;f_min;f_max;F_year
C1;DEC_THHP_GAS_COLD;;;;
C1;IND_ELEC_COLD;;;1000000000000000.0;
C1;TRAMWAY_TROLLEY;;;;
C1;BUS_COACH_DIESEL;;;;
C1;BUS_COACH_HYDIESEL;;;;
C1;BUS_COACH_CNG_STOICH;;;;
C1;BUS_COACH_FC_HYBRIDH2;;;;
C1;TRAIN_PUB;;;;
C1;PLANE_SHORT_HAUL;;;;
C1;PLANE_H2_SHORT_HAUL;;;;
C1;PLANE_LONG_HAUL;;;;
C1;CAR_GASOLINE;;;;
C1;CAR_DIESEL;;;;
C1;CAR_NG;;;;
C1;CAR_METHANOL;;;;
C1;CAR_HEV;;;;
C1;CAR_PHEV;;;;
C1;CAR_BEV;;;;
C1;CAR_FUEL_CELL;;;;
C1;TRAIN_FREIGHT;;;;
C1;BOAT_FREIGHT_DIESEL;;;;
C1;BOAT_FREIGHT_NG;;;;
C1;BOAT_FREIGHT_METHANOL;;;;
C1;CARGO_LFO;;;;
C1;CARGO_LNG;;;;
C1;CARGO_METHANOL;;;;
C1;CARGO_AMMONIA;;;;
C1;CARGO_FUELCELL_LH2;;;;
C1;CARGO_FUELCELL_AMMONIA;;;;
C1;CARGO_RETRO_METHANOL;;;;
C1;CARGO_RETRO_AMMONIA;;;;
C1;TRUCK_DIESEL;;;;
C1;TRUCK_METHANOL;;;;
C1;TRUCK_FUEL_CELL;;;;
C1;TRUCK_ELEC;;;;
C1;TRUCK_NG;;;;
C1;EFFICIENCY;0.9090909090909091;;1000000000000000.0;
C1;DHN;;;;
C1;GRID;1.0;;1000000000000000.0;
C1;HVAC_LINE;0.3927501279798609;;1000000000000000.0;1718.3331613980106
C1;HVDC_SUBSEA;;;;
C1;GAS_PIPELINE;;;;
C1;GAS_SUBSEA;;;;
C1;H2_RETROFITTED;;;;
C1;H2_NEW;;;;
C1;H2_SUBSEA_RETRO;;;;
C1;H2_SUBSEA_NEW;;;;
C1;H2_ELECTROLYSIS;;;;
C1;H2_NG;;;;
C1;H2_BIOMASS;;;;
C1;BIOMASS_TO_METHANE;;;;
C1;BIOWASTE_TO_METHANE;;;;
C1;SYN_METHANATION;;;;
C1;BIOMETHANATION_WET_BIOMASS;;;;
C1;BIOMETHANATION_BIOWASTE;;;;
C1;BIOMASS_TO_JET_FUEL;;;;
C1;BIOMASS_TO_LFO;;;;
C1;BIOWASTE_TO_JET_FUEL;;;;
C1;BIOWASTE_TO_LFO;;;;
C1;DIESEL_TO_JET_FUEL;;;;
C1;ATM_CCS;;;;
C1;INDUSTRY_CCS;;;;
C1;SYN_METHANOLATION;;;;
C1;METHANE_TO_METHANOL;;;;
C1;BIOMASS_TO_METHANOL;;;;
C1;BIOWASTE_TO_METHANOL;;;;
C1;HABER_BOSCH;;;;
C1;POWER_TO_JET_FUEL;;;;
C1;POWER_TO_LFO;;;;
C1;H2_TO_JET_FUEL;;;;
C1;H2_TO_LFO;;;;
C1;AMMONIA_TO_H2;;;;
C1;OIL_TO_HVC;;;1000000000000000.0;
C1;GAS_TO_HVC;;;;
C1;BIOMASS_TO_HVC;;;;
C1;METHANOL_TO_HVC;;;;
C1;BATT_LI;0.0074411590664838;;1000000000000000.0;-0.2202334385393262
C1;BATT_HS;;;1000000000000000.0;-3.322587993966565e-05
C1;CAES;;;;0.0
C1;BEV_BATT;;;;0.0
C1;PHEV_BATT;;;;0.0
C1;DAM_STORAGE;;;;0.0
C1;PHS;;;;0.0
C1;TS_DEC_DIRECT_ELEC;0.01547833723761772;;1000000000000000.0;-0.5406621137805934
C1;TS_DEC_HP_ELEC;;;;0.0
C1;TS_DEC_THHP_GAS;;;;0.0
C1;TS_DEC_COGEN_GAS;;;;0.0
C1;TS_DEC_COGEN_OIL;;;;0.0
C1;TS_DEC_ADVCOGEN_GAS;;;;0.0
C1;TS_DEC_ADVCOGEN_H2;;;;0.0
C1;TS_DEC_BOILER_GAS;4.454199077039616e-05;;1000000000000000.0;-0.0003779237515441641
C1;TS_DEC_BOILER_WOOD;;;;0.0
C1;TS_DEC_BOILER_OIL;;;;0.0
C1;TS_DHN_DAILY;;;;0.0
C1;TS_DHN_SEASONAL;;;;0.0
C1;TS_HIGH_TEMP;;;;0.0
C1;GAS_STORAGE;;;;0.0
C1;H2_STORAGE;;;;0.0
C1;DIESEL_STORAGE;3.916589467489887;3.912045650817679;1000000000000000.0;-1.9827255982873826e-10
C1;JET_FUEL_STORAGE;0.3081162204778841;0.1437471679033178;1000000000000000.0;3.7862053813139326e-08
C1;GASOLINE_STORAGE;3.624027591091016;3.621354351614265;1000000000000000.0;-4.5726484923253735e-07
C1;LFO_STORAGE;;;;0.0
C1;AMMONIA_STORAGE;;;;0.0
C1;METHANOL_STORAGE;;;;0.0
C1;PT_STORAGE;;;;0.0
C1;ST_STORAGE;;;;0.0
C1;TS_COLD;;;;0.0
C1;CO2_STORAGE;;;;0.0
C1;STOVE_WOOD;0.003303891774450399;0.0033037364992389;1000000000000000.0;0.00034643905539297865
C1;STOVE_LPG;0.01530335501470493;0.0153030325650365;1000000000000000.0;12.758133166761711
C1;STOVE_NG;5.340004268676867e-05;5.282102761992208e-05;1000000000000000.0;8.569968854834334e-05
C1;STOVE_OIL;0.000180162172696787;0.0001801424845521;1000000000000000.0;
C1;STOVE_ELEC;0.001645997864259109;;1000000000000000.0;1.651135903112089
C1;PLANE;;;;
C1;FERMENTATION_TO_BIOETHANOL;;;;
C1;ESTERIFICATION_TO_BIODIESEL;;;;
C1;IND_BOILER_DIESEL;3.157805516539692e-05;3.1578055165396924e-05;1000000000000000.0;
C1;IND_BOILER_LPG;;;;
C1;LPG_STORAGE;1.209602389148867;0.0665568286472938;1000000000000000.0;-1.9215081609180729e-10
C1;LNG_STORAGE;0.3079345280060454;;1000000000000000.0;1.493446087283412e-10
C1;CAR_FG_PRIVATE;;;;
C1;BUS_FG_PRIVATE;;;;
C1;PICKUP_TRUCK_FG_PRIVATE;;;;
C1;SUV_FG_PRIVATE;;;;
C1;MOTORCYCLE_FG_PRIVATE;;;;
C1;CAR_FG_PUBLIC;;;;
C1;BUS_FG_PUBLIC;;;;
C1;PICKUP_TRUCK_FG_PUBLIC;;;;
C1;SUV_FG_PUBLIC;;;;
C1;MOTORCYCLE_FG_PUBLIC;;;;
C1;CAR_GASOLINE_PRIVATE;;;;
C1;BUS_GASOLINE_PRIVATE;;;;
C1;PICKUP_TRUCK_GASOLINE_PRIVATE;;;;
C1;SUV_GASOLINE_PRIVATE;;;;
C1;MOTORCYCLE_GASOLINE_PRIVATE;;;;
C1;CAR_GASOLINE_PUBLIC;;;;
C1;BUS_GASOLINE_PUBLIC;;;;
C1;PICKUP_TRUCK_GASOLINE_PUBLIC;;;;
C1;SUV_GASOLINE_PUBLIC;;;;
C1;MOTORCYCLE_GASOLINE_PUBLIC;;;;
C1;CAR_DIESEL_PRIVATE;;;;
C1;BUS_DIESEL_PRIVATE;;;;
C1;PICKUP_TRUCK_DIESEL_PRIVATE;;;;
C1;SUV_DIESEL_PRIVATE;;;;
C1;MOTORCYCLE_DIESEL_PRIVATE;;;;
C1;CAR_DIESEL_PUBLIC;;;;
C1;BUS_DIESEL_PUBLIC;;;;
C1;PICKUP_TRUCK_DIESEL_PUBLIC;;;;
C1;SUV_DIESEL_PUBLIC;;;;
C1;MOTORCYCLE_DIESEL_PUBLIC;;;;
C1;TRUCK_FG;;;;
C1;VAN_FG;;;;
C1;CARGO_MOTORCYCLE_FG;;;;
C1;TRUCK_GASOLINE;;;;
C1;VAN_GASOLINE;;;;
C1;CARGO_MOTORCYCLE_GASOLINE;;;;
C1;TRUCK_DIESEL_P;;;;
C1;VAN_DIESEL;;;;
C1;CARGO_MOTORCYCLE_DIESEL;;;;
C1;CONVENTIONAL_BULB;0.0006032510253148736;;1000000000000000.0;0.13414164667115522
C1;LED_BULB;0.0002456325656701493;;1000000000000000.0;0.08515161436674151
C1;CONVENTIONAL_LIGHT;;;1000000000000000.0;0.027217964708700155
C1;LED_LIGHT;;;1000000000000000.0;0.0007457414248680167
C1;REFRIGERATOR_EL;0.0004383017545827572;;1000000000000000.0;3.839523370144957
C1;COMM_MACHINERY_DIESEL;0.002024515754362626;;1000000000000000.0;0.3239362265064871
C1;COMM_MACHINERY_EL;0.002093923519879498;;1000000000000000.0;0.12072515145424292
C1;IND_MACHINERY_EL;2.030402288628553e-05;;1000000000000000.0;0.1778632404838613
