Technologies param;c_p;fmin_perc;fmax_perc;f_min;f_max
SYN_METHANOLATION;0.9443;0;1;0;0
METHANE_TO_METHANOL;0.8449;0;1;0;0
BIOMASS_TO_METHANOL;0.994;0;1;0;0
BIOWASTE_TO_METHANOL;1;0;1;0;0
HABER_BOSCH;0.994;0;1;0;0
POWER_TO_GASOLINE;0.91;0;1;0;0
POWER_TO_DIESEL;0.91;0;1;0;0
POWER_TO_JET_FUEL;0.91;0;1;0;0
POWER_TO_LFO;0.91;0;1;0;0
H2_TO_GASOLINE;0.91;0;1;0;0
H2_TO_DIESEL;0.91;0;1;0;0
H2_TO_JET_FUEL;0.91;0;1;0;0
H2_TO_LFO;0.91;0;1;0;0
AMMONIA_TO_H2;0.994;0;1;0;0
OIL_TO_HVC;0.994;0;1;0;1.00E+15
GAS_TO_HVC;0.994;0;1;0;0
BIOMASS_TO_HVC;0.994;0;1;0;0
METHANOL_TO_HVC;1;0;1;0;0
BATT_LI;1;0;1;0;1.00E+15
CAES;1;0;1;0;0
BEV_BATT;1;0;1;0;0
PHEV_BATT;1;0;1;0;0
DAM_STORAGE;1;0;1;0;0
PHS;1;0;1;0;0
TS_DEC_DIRECT_ELEC;1;0;1;0;0
TS_DEC_HP_ELEC;1;0;1;0;0
TS_DEC_THHP_GAS;1;0;1;0;0
TS_DEC_COGEN_GAS;1;0;1;0;0
TS_DEC_COGEN_OIL;1;0;1;0;0
TS_DEC_ADVCOGEN_GAS;1;0;1;0;0
TS_DEC_ADVCOGEN_H2;1;0;1;0;0
TS_DEC_BOILER_GAS;1;0;1;0;0
TS_DEC_BOILER_WOOD;1;0;1;0;0
TS_DEC_BOILER_OIL;1;0;1;0;0
TS_DHN_DAILY;1;0;1;0;0
TS_DHN_SEASONAL;1;0;1;0;0
TS_HIGH_TEMP;1;0;1;0;0
GAS_STORAGE;1;0;1;0;0
H2_STORAGE;1;0;1;0;0
DIESEL_STORAGE;1;0;1;38.553119;38.55312
JET_FUEL_STORAGE;1;0;1;1.416625;1.416626
GASOLINE_STORAGE;1;0;1;35.688363;35.688364
LFO_STORAGE;1;0;1;0;0
AMMONIA_STORAGE;1;0;1;0;0
METHANOL_STORAGE;1;0;1;0;0
PT_STORAGE;1;0;1;0;0
ST_STORAGE;1;0;1;0;0
TS_COLD;1;0;1;0;0
CO2_STORAGE;1;0;1;0;0
STOVE_WOOD;0.1875;0.016343225;0.05836866;0;1.00E+15
STOVE_LPG;0.1875;0.257122488;0.9182946;0;1.00E+15
STOVE_NG;0.1875;0.004909635;0.017534412;0;1.00E+15
STOVE_OIL;0.1875;0.001624652;0.005802328;0;1.00E+15
STOVE_ELEC;0.1875;0;1;0;0
PLANE;0.114155251;0;1;0;1.00E+15
FERMENTATION_TO_BIOETHANOL;0.92;0;1;0;0
ESTERIFICATION_TO_BIODIESEL;0.8449;0;1;0;0
IND_BOILER_DIESEL;0.9;0.002274455;0.008123054;0;1.00E+15
IND_BOILER_LPG;0.9443;0;1;0;0
LPG_STORAGE;1;0;1;0.655916;0.655916667
LNG_STORAGE;1;0;1;3.423999;3.424
CAR_FG_PRIVATE;0.1343125;0;0;0;0
BUS_FG_PRIVATE;0.48372222;0;0;0;0
PICKUP_TRUCK_FG_PRIVATE;0.1343125;0;0;0;0
SUV_FG_PRIVATE;0.1343125;0;0;0;0
MOTORCYCLE_FG_PRIVATE;0.01989583;0;0;0;0
CAR_FG_PUBLIC;0.1343125;0;0;0;0
BUS_FG_PUBLIC;0.48372222;0;0;0;0
PICKUP_TRUCK_FG_PUBLIC;0.1343125;0;0;0;0
SUV_FG_PUBLIC;0.1343125;0;0;0;0
MOTORCYCLE_FG_PUBLIC;0.01989583;0;0;0;0
CAR_GASOLINE_PRIVATE;0.1343125;0.028841586;0.103005665;0;1.00E+15
BUS_GASOLINE_PRIVATE;0.48372222;0;0;0;1.00E+15
PICKUP_TRUCK_GASOLINE_PRIVATE;0.1343125;0.012479259;0.044568782;0;1.00E+15
SUV_GASOLINE_PRIVATE;0.1343125;0.020478614;0.073137907;0;1.00E+15
MOTORCYCLE_GASOLINE_PRIVATE;0.01989583;0.214779936;0.7670712;0;1.00E+15
CAR_GASOLINE_PUBLIC;0.1343125;0;0;0;1.00E+15
BUS_GASOLINE_PUBLIC;0.48372222;0.245677294;0.877418907;0;1.00E+15
PICKUP_TRUCK_GASOLINE_PUBLIC;0.1343125;0;0;0;1.00E+15
SUV_GASOLINE_PUBLIC;0.1343125;0;0;0;1.00E+15
MOTORCYCLE_GASOLINE_PUBLIC;0.01989583;0;0;0;1.00E+15
