;avail_local;avail_exterior;gwp_op_local;c_op_local;Comment
WOOD;0.295315;0.0;0.0118;0.016981;
BIOMASS_RESIDUES;1.146905;0.0;0.0118;0.010318;
WASTE;0.0;0.0;0.1501;0.021188;
ELECTRICITY;0.0;37.507315264685936;0.412971;0.063732;ELECTRICITY.avail_exterior = 37.5073 GWh/y -- Brazil interconnection (early_access_brazil only). Total 113.8 GWh/y, source: IDB (BID) BO-L1238, first-year program indicator, NOT a contractual commitment. Split C3/C5 proportional to no_transition_2050's own GENSET_DIESEL production (82.57 GWh/y here, 250.51 GWh/y C3+C5 total) -- the diesel generation this import displaces, since early_access itself never builds GENSET_DIESEL. c_op_exterior/gwp_op_exterior for ELECTRICITY are unchanged, defined once in the shared 00_INDEP/Resources_indep.csv.
GAS;0.0;0.0;0.2666;0.003808;
GASOLINE;0.0;1000000.0;0.3448;0.05348;
DIESEL;0.0;1000000.0;0.3148;0.04663;
LFO;0.0;1.0;0.3115;0.035454;
LPG;0.0;1000000.0;0.283609;0.021579;
LNG;0.0;1.0;0.2666;0.010663;
JET_FUEL;0.0;1.0;0.3115;0.035454;
