Regions;Regions;Exch_freight_border
C1;C1;0
C1;C2;0
C1;C3;0
C1;C4;0
C1;C5;0
C2;C1;0
C2;C2;0
C2;C3;0
C2;C4;0
C2;C5;0
C3;C1;0
C3;C2;0
C3;C3;0
C3;C4;0
C3;C5;0
C4;C1;0
C4;C2;0
C4;C3;0
C4;C4;0
C4;C5;0
C5;C1;0
C5;C2;0
C5;C3;0
C5;C4;0
C5;C5;0
