param : 	avail_local	avail_exterior	gwp_op_local	c_op_local := 
C3	CO2_INDUSTRY	0.0	0.0	0.0	0.0
C3	CO2_CAPTURED	0.0	0.0	0.0	0.0
C3	PT_HEAT	0.0	0.0	0.0	0.0
C3	ST_HEAT	0.0	0.0	0.0	0.0
C3	LPG	0.0	1000000.0	0.283609	0.021579
C3	LNG	0.0	1.0	0.2666	0.010663
C3	CO2_EMISSIONS_CAPTURED	0.0	Infinity	0.0	0.0
C3	CO2_EMISSIONS_ATM	0.0	Infinity	0.0	0.0
C4	ELECTRICITY	0.0	0.0	0.412971	0.063732
C4	GASOLINE	0.0	1000000.0	0.3448	0.05348
C4	DIESEL	0.0	1000000.0	0.3148	0.04663
C4	GASOLINE_RE	0.0	0.0	0.0	0.122502774
C4	DIESEL_RE	0.0	0.0	0.0	0.131394244
C4	LFO	0.0	1.0	0.3115	0.035454
C4	LFO_RE	0.0	0.0	0.0	0.1502
C4	JET_FUEL	0.0	1.0	0.3115	0.035454
C4	JET_FUEL_RE	0.0	0.0	0.0	0.1502
C4	GAS	0.0	0.0	0.2666	0.003808
C4	GAS_RE	0.0	0.0	0.0	0.132345636
C4	WOOD	20.660842	0.0	0.0118	0.016981
C4	WET_BIOMASS	0.0	0.0	0.01056	0.010318121
C4	ENERGY_CROPS_2	0.0	0.0	0.00756	0.010318121
C4	BIOWASTE	0.0	0.0	0.00324	0.010318121
C4	BIOMASS_RESIDUES	80.239972	0.0	0.0118	0.010318
C4	COAL	0.0	0.0	0.4	0.017657892
C4	URANIUM	0.0	0.0	0.0	0.003876456
C4	WASTE	0.0	0.0	0.1501	0.021188
C4	H2	0.0	0.0	0.36	0.088003981
C4	H2_RE	0.0	0.0	0.0	0.119242396
C4	AMMONIA	0.0	0.0	0.46	0.094714031
C4	METHANOL	0.0	0.0	0.41	0.101985823
C4	AMMONIA_RE	0.0	0.0	0.0	0.081823311
C4	METHANOL_RE	0.0	0.0	0.0	0.111323944
C4	CO2_EMISSIONS	0.0	Infinity	0.0	0.0
C4	RES_WIND	Infinity	0.0	0.0	0.0
C4	RES_SOLAR	Infinity	0.0	0.0	0.0
C4	RES_HYDRO	Infinity	0.0	0.0	0.0
C4	RES_GEO	Infinity	0.0	0.0	0.0
C4	CO2_ATM	0.0	Infinity	0.0	0.0
C4	CO2_INDUSTRY	0.0	0.0	0.0	0.0
C4	CO2_CAPTURED	0.0	0.0	0.0	0.0
C4	PT_HEAT	0.0	0.0	0.0	0.0
C4	ST_HEAT	0.0	0.0	0.0	0.0
C4	LPG	0.0	1000000.0	0.283609	0.021579
C4	LNG	0.0	1.0	0.2666	0.010663
C4	CO2_EMISSIONS_CAPTURED	0.0	Infinity	0.0	0.0
C4	CO2_EMISSIONS_ATM	0.0	Infinity	0.0	0.0
C5	ELECTRICITY	0.0	0.0	0.412971	0.063732
C5	GASOLINE	0.0	1000000.0	0.3448	0.05348
C5	DIESEL	0.0	1000000.0	0.3148	0.04663
C5	GASOLINE_RE	0.0	0.0	0.0	0.122502774
C5	DIESEL_RE	0.0	0.0	0.0	0.131394244
C5	LFO	0.0	1.0	0.3115	0.035454
C5	LFO_RE	0.0	0.0	0.0	0.1502
C5	JET_FUEL	0.0	1.0	0.3115	0.035454
C5	JET_FUEL_RE	0.0	0.0	0.0	0.1502
C5	GAS	0.0	0.0	0.2666	0.003808
C5	GAS_RE	0.0	0.0	0.0	0.132345636
C5	WOOD	0.295315	0.0	0.0118	0.016981
C5	WET_BIOMASS	0.0	0.0	0.01056	0.010318121
C5	ENERGY_CROPS_2	0.0	0.0	0.00756	0.010318121
C5	BIOWASTE	0.0	0.0	0.00324	0.010318121
C5	BIOMASS_RESIDUES	1.146905	0.0	0.0118	0.010318
C5	COAL	0.0	0.0	0.4	0.017657892
C5	URANIUM	0.0	0.0	0.0	0.003876456
C5	WASTE	0.0	0.0	0.1501	0.021188
C5	H2	0.0	0.0	0.36	0.088003981
C5	H2_RE	0.0	0.0	0.0	0.119242396
C5	AMMONIA	0.0	0.0	0.46	0.094714031
C5	METHANOL	0.0	0.0	0.41	0.101985823
C5	AMMONIA_RE	0.0	0.0	0.0	0.081823311
C5	METHANOL_RE	0.0	0.0	0.0	0.111323944
C5	CO2_EMISSIONS	0.0	Infinity	0.0	0.0
C5	RES_WIND	Infinity	0.0	0.0	0.0
C5	RES_SOLAR	Infinity	0.0	0.0	0.0
C5	RES_HYDRO	Infinity	0.0	0.0	0.0
C5	RES_GEO	Infinity	0.0	0.0	0.0
C5	CO2_ATM	0.0	Infinity	0.0	0.0
C5	CO2_INDUSTRY	0.0	0.0	0.0	0.0
C5	CO2_CAPTURED	0.0	0.0	0.0	0.0
C5	PT_HEAT	0.0	0.0	0.0	0.0
C5	ST_HEAT	0.0	0.0	0.0	0.0
C5	LPG	0.0	1000000.0	0.283609	0.021579
C5	LNG	0.0	1.0	0.2666	0.010663
C5	CO2_EMISSIONS_CAPTURED	0.0	Infinity	0.0	0.0
C5	CO2_EMISSIONS_ATM	0.0	Infinity	0.0	0.0
;
