param : 	storage_charge_time	storage_discharge_time := 
SA-BN	DAM_STORAGE	1526.0	1526.0
SA-BN	PHS	10.0	10.0
SA-BN	BATT_LI	6.0	6.0
SA-BN	CAES	6.84	4.1
SA-BN	BEV_BATT	8.33	8.33
SA-BN	PHEV_BATT	8.33	8.33
SA-BN	TS_DEC_DIRECT_ELEC	4.0	4.0
SA-BN	TS_DEC_HP_ELEC	4.0	4.0
SA-BN	TS_DEC_THHP_GAS	4.0	4.0
SA-BN	TS_DEC_COGEN_GAS	4.0	4.0
SA-BN	TS_DEC_COGEN_OIL	4.0	4.0
SA-BN	TS_DEC_ADVCOGEN_GAS	4.0	4.0
SA-BN	TS_DEC_ADVCOGEN_H2	4.0	4.0
SA-BN	TS_DEC_BOILER_GAS	4.0	4.0
SA-BN	TS_DEC_BOILER_WOOD	4.0	4.0
SA-BN	TS_DEC_BOILER_OIL	4.0	4.0
SA-BN	TS_DHN_DAILY	60.3	60.3
SA-BN	TS_DHN_SEASONAL	150.0	150.0
SA-BN	TS_HIGH_TEMP	2.0	2.0
SA-BN	GAS_STORAGE	2256.0	752.0
SA-BN	H2_STORAGE	168.0	168.0
SA-BN	CO2_STORAGE	1.0	1.0
SA-BN	DIESEL_STORAGE	168.0	168.0
SA-BN	JET_FUEL_STORAGE	168.0	168.0
SA-BN	GASOLINE_STORAGE	168.0	168.0
SA-BN	LFO_STORAGE	168.0	168.0
SA-BN	AMMONIA_STORAGE	168.0	168.0
SA-BN	METHANOL_STORAGE	168.0	168.0
SA-BN	PT_STORAGE	1.33	1.33
SA-BN	ST_STORAGE	1.33	1.33
SA-BN	TS_COLD	4.0	4.0
SA-BN	LPG_STORAGE	168.0	168.0
SA-BN	LNG_STORAGE	15.0	15.0
SA-BN	SUV_ELEC_PRIVATE_BATT	8.33	8.33
SA-BN	MOTORCYCLE_ELEC_PRIVATE_BATT	7.0	7.0
SA-BN	BUS_ELEC_PUBLIC_BATT	8.33	8.33
SA-PA	DAM_STORAGE	1526.0	1526.0
SA-PA	PHS	10.0	10.0
SA-PA	BATT_LI	6.0	6.0
SA-PA	CAES	6.84	4.1
SA-PA	BEV_BATT	8.33	8.33
SA-PA	PHEV_BATT	8.33	8.33
SA-PA	TS_DEC_DIRECT_ELEC	4.0	4.0
SA-PA	TS_DEC_HP_ELEC	4.0	4.0
SA-PA	TS_DEC_THHP_GAS	4.0	4.0
SA-PA	TS_DEC_COGEN_GAS	4.0	4.0
SA-PA	TS_DEC_COGEN_OIL	4.0	4.0
SA-PA	TS_DEC_ADVCOGEN_GAS	4.0	4.0
SA-PA	TS_DEC_ADVCOGEN_H2	4.0	4.0
SA-PA	TS_DEC_BOILER_GAS	4.0	4.0
SA-PA	TS_DEC_BOILER_WOOD	4.0	4.0
SA-PA	TS_DEC_BOILER_OIL	4.0	4.0
SA-PA	TS_DHN_DAILY	60.3	60.3
SA-PA	TS_DHN_SEASONAL	150.0	150.0
SA-PA	TS_HIGH_TEMP	2.0	2.0
SA-PA	GAS_STORAGE	2256.0	752.0
SA-PA	H2_STORAGE	168.0	168.0
SA-PA	CO2_STORAGE	1.0	1.0
SA-PA	DIESEL_STORAGE	168.0	168.0
SA-PA	JET_FUEL_STORAGE	168.0	168.0
SA-PA	GASOLINE_STORAGE	168.0	168.0
SA-PA	LFO_STORAGE	168.0	168.0
SA-PA	AMMONIA_STORAGE	168.0	168.0
SA-PA	METHANOL_STORAGE	168.0	168.0
SA-PA	PT_STORAGE	1.33	1.33
SA-PA	ST_STORAGE	1.33	1.33
SA-PA	TS_COLD	4.0	4.0
