param : 	c_inv	c_maint	gwp_constr	lifetime	c_p	fmin_perc	fmax_perc	f_min	f_max := 
SA-BN	DEC_THHP_GAS_COLD	339.33	9.9	381.93	20	1.0	0.0	1.0	0.0	0.0
SA-BN	IND_ELEC_COLD	664.97	5.4	174.79	20	0.95	0.0	1.0	0.0	0.0
SA-BN	TRAMWAY_TROLLEY	625.0	12.5	0.0	30	0.342465753	0.0	1.0	0.0	0.0
SA-BN	BUS_COACH_DIESEL	0.0	0.0	0.0	15	0.483722222	0.0	1.0	0.0	0.0
SA-BN	BUS_COACH_HYDIESEL	822.56	33.33333333	0.0	15	0.483722222	0.0	1.0	0.0	0.0
SA-BN	BUS_COACH_CNG_STOICH	0.0	0.0	0.0	15	0.483722222	0.0	1.0	0.0	0.0
SA-BN	BUS_COACH_FC_HYBRIDH2	1114.04	31.25	0.0	15	0.483722222	0.0	1.0	0.0	0.0
SA-BN	TRAIN_PUB	1506.02	54.35274934	0.0	40	0.275072894	0.0	1.0	0.0	0.0
SA-BN	PLANE_SHORT_HAUL	1456.05	39.82	0.0	35	0.4999	0.0	1.0	0.0	0.0
SA-BN	PLANE_H2_SHORT_HAUL	1639.69	44.84	0.0	35	0.4999	0.0	1.0	0.0	0.0
SA-BN	PLANE_LONG_HAUL	1343.77	36.75	0.0	35	0.5374	0.0	1.0	0.0	0.0
SA-BN	CAR_GASOLINE	0.0	0.0	0.0	10	0.1343125	0.0	1.0	0.0	0.0
SA-BN	CAR_DIESEL	0.0	0.0	0.0	10	0.1343125	0.0	1.0	0.0	0.0
SA-BN	CAR_NG	0.0	0.0	0.0	10	0.1343125	0.0	1.0	0.0	0.0
SA-BN	CAR_METHANOL	0.0	0.0	0.0	10	0.1343125	0.0	1.0	0.0	0.0
SA-BN	CAR_HEV	423.86	34.0	0.0	10	0.1343125	0.0	1.0	0.0	0.0
SA-BN	CAR_PHEV	473.46	34.0	0.0	10	0.1343125	0.0	1.0	0.0	0.0
SA-BN	CAR_BEV	380.3142753	7.606285505	0.0	10	0.1343125	0.0	1.0	0.0	0.0
SA-BN	CAR_FUEL_CELL	1500.1072	14.124	0.0	10	0.1343125	0.0	1.0	0.0	0.0
SA-BN	TRAIN_FREIGHT	104.42	2.088311688	0.0	40	0.342465753	0.0	1.0	0.0	0.0
SA-BN	BOAT_FREIGHT_DIESEL	72.24	3.819444444	0.0	40	0.114155251	0.0	1.0	0.0	Infinity
SA-BN	BOAT_FREIGHT_NG	73.13	3.819444444	0.0	40	0.114155251	0.0	1.0	0.0	0.0
SA-BN	BOAT_FREIGHT_METHANOL	0.0	0.0	0.0	40	0.114155251	0.0	1.0	0.0	0.0
SA-BN	CARGO_LFO	0.0	0.0	0.0	40	0.739666854	0.0	1.0	0.0	0.0
SA-BN	CARGO_LNG	0.0	0.0	0.0	40	0.739666854	0.0	1.0	0.0	0.0
SA-BN	CARGO_METHANOL	0.0	0.0	0.0	40	0.739666854	0.0	1.0	0.0	0.0
SA-BN	CARGO_AMMONIA	0.0	0.0	0.0	40	0.739666854	0.0	1.0	0.0	0.0
