Unnamed: 0;avail_local;avail_exterior
BIOMASS_RESIDUES;22.981848591;0.0
DIESEL;0.0;1.0
ELECTRICITY;0.0;0.0
GAS;0.0;1.0
GASOLINE;0.0;0.0
JET_FUEL;0.0;0.0
LFO;0.0;0.0
LNG;0.0;0.5
LPG;0.0;1.0
WASTE;0.0;0.0
WOOD;22.981848591;0.0
